TIME_PERIOD	MEDIDAS	TERRITORIO	ACTIVIDAD_ECONOMICA	OBS_VALUE	ESTADO_OBSERVACION	NOTAS_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION
2022	Empresa inscrita en la Seguridad Social	Arona	Hostelería	805			
2021	Empresa inscrita en la Seguridad Social	Arona	Hostelería	754			
2020	Empresa inscrita en la Seguridad Social	Arona	Hostelería	739			
2019	Empresa inscrita en la Seguridad Social	Arona	Hostelería	832			
2018	Empresa inscrita en la Seguridad Social	Arona	Hostelería	831			
2017	Empresa inscrita en la Seguridad Social	Arona	Hostelería	827			
2016	Empresa inscrita en la Seguridad Social	Arona	Hostelería	809			
2015	Empresa inscrita en la Seguridad Social	Arona	Hostelería	776			
2023	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Hostelería	30			
2022	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Hostelería	31			
2021	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Hostelería	29			
2020	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Hostelería	32			
2019	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Hostelería	36			
2018	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Hostelería	34			
2017	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Hostelería	34			
2016	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Hostelería	34			
2015	Empresa inscrita en la Seguridad Social	Buenavista del Norte	Hostelería	29			
2023	Empresa inscrita en la Seguridad Social	Candelaria	Hostelería	95			
2022	Empresa inscrita en la Seguridad Social	Candelaria	Hostelería	99			
2021	Empresa inscrita en la Seguridad Social	Candelaria	Hostelería	101			
2020	Empresa inscrita en la Seguridad Social	Candelaria	Hostelería	99			
2019	Empresa inscrita en la Seguridad Social	Candelaria	Hostelería	106			
2018	Empresa inscrita en la Seguridad Social	Candelaria	Hostelería	108			
2017	Empresa inscrita en la Seguridad Social	Candelaria	Hostelería	108			
2016	Empresa inscrita en la Seguridad Social	Candelaria	Hostelería	102			
2015	Empresa inscrita en la Seguridad Social	Candelaria	Hostelería	98			
2023	Empresa inscrita en la Seguridad Social	Fasnia	Hostelería	9			
2022	Empresa inscrita en la Seguridad Social	Fasnia	Hostelería	9			
2021	Empresa inscrita en la Seguridad Social	Fasnia	Hostelería	11			
2020	Empresa inscrita en la Seguridad Social	Fasnia	Hostelería	13			
2019	Empresa inscrita en la Seguridad Social	Fasnia	Hostelería	13			
2018	Empresa inscrita en la Seguridad Social	Fasnia	Hostelería	12			
2017	Empresa inscrita en la Seguridad Social	Fasnia	Hostelería	11			
2016	Empresa inscrita en la Seguridad Social	Fasnia	Hostelería	11			
2015	Empresa inscrita en la Seguridad Social	Fasnia	Hostelería	11			
2023	Empresa inscrita en la Seguridad Social	Garachico	Hostelería	49			
2022	Empresa inscrita en la Seguridad Social	Garachico	Hostelería	49			
2021	Empresa inscrita en la Seguridad Social	Garachico	Hostelería	47			
2020	Empresa inscrita en la Seguridad Social	Garachico	Hostelería	46			
2019	Empresa inscrita en la Seguridad Social	Garachico	Hostelería	47			
2018	Empresa inscrita en la Seguridad Social	Garachico	Hostelería	49			
2017	Empresa inscrita en la Seguridad Social	Garachico	Hostelería	49			
2016	Empresa inscrita en la Seguridad Social	Garachico	Hostelería	49			
2015	Empresa inscrita en la Seguridad Social	Garachico	Hostelería	44			
2023	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Hostelería	208			
2022	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Hostelería	207			
2021	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Hostelería	195			
2020	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Hostelería	184			
2019	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Hostelería	196			
2018	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Hostelería	202			
2017	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Hostelería	201			
2016	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Hostelería	202			
2015	Empresa inscrita en la Seguridad Social	Granadilla de Abona	Hostelería	195			
2023	Empresa inscrita en la Seguridad Social	La Guancha	Hostelería	14			
2022	Empresa inscrita en la Seguridad Social	La Guancha	Hostelería	13			
2021	Empresa inscrita en la Seguridad Social	La Guancha	Hostelería	12			
2020	Empresa inscrita en la Seguridad Social	La Guancha	Hostelería	11			
2019	Empresa inscrita en la Seguridad Social	La Guancha	Hostelería	11			
2018	Empresa inscrita en la Seguridad Social	La Guancha	Hostelería	12			
2017	Empresa inscrita en la Seguridad Social	La Guancha	Hostelería	11			
2016	Empresa inscrita en la Seguridad Social	La Guancha	Hostelería	12			
2015	Empresa inscrita en la Seguridad Social	La Guancha	Hostelería	9			
2023	Empresa inscrita en la Seguridad Social	Guía de Isora	Hostelería	110			
2022	Empresa inscrita en la Seguridad Social	Guía de Isora	Hostelería	111			
2021	Empresa inscrita en la Seguridad Social	Guía de Isora	Hostelería	105			
2020	Empresa inscrita en la Seguridad Social	Guía de Isora	Hostelería	102			
2019	Empresa inscrita en la Seguridad Social	Guía de Isora	Hostelería	113			
2018	Empresa inscrita en la Seguridad Social	Guía de Isora	Hostelería	114			
2017	Empresa inscrita en la Seguridad Social	Guía de Isora	Hostelería	112			
2016	Empresa inscrita en la Seguridad Social	Guía de Isora	Hostelería	105			
2015	Empresa inscrita en la Seguridad Social	Guía de Isora	Hostelería	106			
2023	Empresa inscrita en la Seguridad Social	Güímar	Hostelería	59			
2022	Empresa inscrita en la Seguridad Social	Güímar	Hostelería	58			
2021	Empresa inscrita en la Seguridad Social	Güímar	Hostelería	55			
2020	Empresa inscrita en la Seguridad Social	Güímar	Hostelería	56			
2019	Empresa inscrita en la Seguridad Social	Güímar	Hostelería	62			
2018	Empresa inscrita en la Seguridad Social	Güímar	Hostelería	63			
2017	Empresa inscrita en la Seguridad Social	Güímar	Hostelería	66			
2016	Empresa inscrita en la Seguridad Social	Güímar	Hostelería	65			
2015	Empresa inscrita en la Seguridad Social	Güímar	Hostelería	62			
2023	Empresa inscrita en la Seguridad Social	Icod de los Vinos	Hostelería	73			
2022	Empresa inscrita en la Seguridad Social	Icod de los Vinos	Hostelería	72			
2021	Empresa inscrita en la Seguridad Social	Icod de los Vinos	Hostelería	64			
2020	Empresa inscrita en la Seguridad Social	Icod de los Vinos	Hostelería	63			
2019	Empresa inscrita en la Seguridad Social	Icod de los Vinos	Hostelería	71			
2018	Empresa inscrita en la Seguridad Social	Icod de los Vinos	Hostelería	69			
2017	Empresa inscrita en la Seguridad Social	Icod de los Vinos	Hostelería	67			
2016	Empresa inscrita en la Seguridad Social	Icod de los Vinos	Hostelería	65			
2015	Empresa inscrita en la Seguridad Social	Icod de los Vinos	Hostelería	69			
2023	Empresa inscrita en la Seguridad Social	San Cristóbal de La Laguna	Hostelería	548			
2022	Empresa inscrita en la Seguridad Social	San Cristóbal de La Laguna	Hostelería	544			
2021	Empresa inscrita en la Seguridad Social	San Cristóbal de La Laguna	Hostelería	549			
2020	Empresa inscrita en la Seguridad Social	San Cristóbal de La Laguna	Hostelería	558			
2019	Empresa inscrita en la Seguridad Social	San Cristóbal de La Laguna	Hostelería	592			
2018	Empresa inscrita en la Seguridad Social	San Cristóbal de La Laguna	Hostelería	595			
2017	Empresa inscrita en la Seguridad Social	San Cristóbal de La Laguna	Hostelería	584			
2016	Empresa inscrita en la Seguridad Social	San Cristóbal de La Laguna	Hostelería	571			
2015	Empresa inscrita en la Seguridad Social	San Cristóbal de La Laguna	Hostelería	555			
2023	Empresa inscrita en la Seguridad Social	La Matanza de Acentejo	Hostelería	49			
2022	Empresa inscrita en la Seguridad Social	La Matanza de Acentejo	Hostelería	53			
2021	Empresa inscrita en la Seguridad Social	La Matanza de Acentejo	Hostelería	57			
2020	Empresa inscrita en la Seguridad Social	La Matanza de Acentejo	Hostelería	53			
2019	Empresa inscrita en la Seguridad Social	La Matanza de Acentejo	Hostelería	56			
2018	Empresa inscrita en la Seguridad Social	La Matanza de Acentejo	Hostelería	57			
2017	Empresa inscrita en la Seguridad Social	La Matanza de Acentejo	Hostelería	55			
2016	Empresa inscrita en la Seguridad Social	La Matanza de Acentejo	Hostelería	52			
2015	Empresa inscrita en la Seguridad Social	La Matanza de Acentejo	Hostelería	47			
2023	Empresa inscrita en la Seguridad Social	La Orotava	Hostelería	140			
2022	Empresa inscrita en la Seguridad Social	La Orotava	Hostelería	141			
2021	Empresa inscrita en la Seguridad Social	La Orotava	Hostelería	148			
2020	Empresa inscrita en la Seguridad Social	La Orotava	Hostelería	138			
2019	Empresa inscrita en la Seguridad Social	La Orotava	Hostelería	143			
2018	Empresa inscrita en la Seguridad Social	La Orotava	Hostelería	145			
2017	Empresa inscrita en la Seguridad Social	La Orotava	Hostelería	148			
2016	Empresa inscrita en la Seguridad Social	La Orotava	Hostelería	144			
2015	Empresa inscrita en la Seguridad Social	La Orotava	Hostelería	138			
2023	Empresa inscrita en la Seguridad Social	Puerto de la Cruz	Hostelería	330			
2022	Empresa inscrita en la Seguridad Social	Puerto de la Cruz	Hostelería	317			
2021	Empresa inscrita en la Seguridad Social	Puerto de la Cruz	Hostelería	305			
2020	Empresa inscrita en la Seguridad Social	Puerto de la Cruz	Hostelería	308			
2019	Empresa inscrita en la Seguridad Social	Puerto de la Cruz	Hostelería	338			
2018	Empresa inscrita en la Seguridad Social	Puerto de la Cruz	Hostelería	343			
2017	Empresa inscrita en la Seguridad Social	Puerto de la Cruz	Hostelería	346			
2016	Empresa inscrita en la Seguridad Social	Puerto de la Cruz	Hostelería	338			
2015	Empresa inscrita en la Seguridad Social	Puerto de la Cruz	Hostelería	331			
2023	Empresa inscrita en la Seguridad Social	Los Realejos	Hostelería	101			
2022	Empresa inscrita en la Seguridad Social	Los Realejos	Hostelería	103			
2021	Empresa inscrita en la Seguridad Social	Los Realejos	Hostelería	103			
2020	Empresa inscrita en la Seguridad Social	Los Realejos	Hostelería	101			
2019	Empresa inscrita en la Seguridad Social	Los Realejos	Hostelería	112			
2018	Empresa inscrita en la Seguridad Social	Los Realejos	Hostelería	110			
2017	Empresa inscrita en la Seguridad Social	Los Realejos	Hostelería	109			
2016	Empresa inscrita en la Seguridad Social	Los Realejos	Hostelería	106			
2015	Empresa inscrita en la Seguridad Social	Los Realejos	Hostelería	103			
2023	Empresa inscrita en la Seguridad Social	El Rosario	Hostelería	57			
2022	Empresa inscrita en la Seguridad Social	El Rosario	Hostelería	59			
2021	Empresa inscrita en la Seguridad Social	El Rosario	Hostelería	58			
2020	Empresa inscrita en la Seguridad Social	El Rosario	Hostelería	55			
2019	Empresa inscrita en la Seguridad Social	El Rosario	Hostelería	60			
2018	Empresa inscrita en la Seguridad Social	El Rosario	Hostelería	58			
2017	Empresa inscrita en la Seguridad Social	El Rosario	Hostelería	57			
2016	Empresa inscrita en la Seguridad Social	El Rosario	Hostelería	59			
2015	Empresa inscrita en la Seguridad Social	El Rosario	Hostelería	59			
2023	Empresa inscrita en la Seguridad Social	San Juan de la Rambla	Hostelería	17			
2022	Empresa inscrita en la Seguridad Social	San Juan de la Rambla	Hostelería	20			
2021	Empresa inscrita en la Seguridad Social	San Juan de la Rambla	Hostelería	18			
2020	Empresa inscrita en la Seguridad Social	San Juan de la Rambla	Hostelería	17			
2019	Empresa inscrita en la Seguridad Social	San Juan de la Rambla	Hostelería	15			
2018	Empresa inscrita en la Seguridad Social	San Juan de la Rambla	Hostelería	16			
2017	Empresa inscrita en la Seguridad Social	San Juan de la Rambla	Hostelería	19			
2016	Empresa inscrita en la Seguridad Social	San Juan de la Rambla	Hostelería	18			
2015	Empresa inscrita en la Seguridad Social	San Juan de la Rambla	Hostelería	20			
2023	Empresa inscrita en la Seguridad Social	San Miguel de Abona	Hostelería	136			
2022	Empresa inscrita en la Seguridad Social	San Miguel de Abona	Hostelería	129			
2021	Empresa inscrita en la Seguridad Social	San Miguel de Abona	Hostelería	129			
2020	Empresa inscrita en la Seguridad Social	San Miguel de Abona	Hostelería	125			
2019	Empresa inscrita en la Seguridad Social	San Miguel de Abona	Hostelería	144			
2018	Empresa inscrita en la Seguridad Social	San Miguel de Abona	Hostelería	144			
2017	Empresa inscrita en la Seguridad Social	San Miguel de Abona	Hostelería	139			
2016	Empresa inscrita en la Seguridad Social	San Miguel de Abona	Hostelería	133			
2015	Empresa inscrita en la Seguridad Social	San Miguel de Abona	Hostelería	122			
2023	Empresa inscrita en la Seguridad Social	Santa Cruz de Tenerife	Hostelería	769			
2022	Empresa inscrita en la Seguridad Social	Santa Cruz de Tenerife	Hostelería	763			
2021	Empresa inscrita en la Seguridad Social	Santa Cruz de Tenerife	Hostelería	752			
2020	Empresa inscrita en la Seguridad Social	Santa Cruz de Tenerife	Hostelería	749			
2019	Empresa inscrita en la Seguridad Social	Santa Cruz de Tenerife	Hostelería	784			
2018	Empresa inscrita en la Seguridad Social	Santa Cruz de Tenerife	Hostelería	775			
2017	Empresa inscrita en la Seguridad Social	Santa Cruz de Tenerife	Hostelería	761			
2016	Empresa inscrita en la Seguridad Social	Santa Cruz de Tenerife	Hostelería	737			
2015	Empresa inscrita en la Seguridad Social	Santa Cruz de Tenerife	Hostelería	713			
2023	Empresa inscrita en la Seguridad Social	Santa Úrsula	Hostelería	82			
2022	Empresa inscrita en la Seguridad Social	Santa Úrsula	Hostelería	88			
2021	Empresa inscrita en la Seguridad Social	Santa Úrsula	Hostelería	91			
2020	Empresa inscrita en la Seguridad Social	Santa Úrsula	Hostelería	92			
2019	Empresa inscrita en la Seguridad Social	Santa Úrsula	Hostelería	104			
2018	Empresa inscrita en la Seguridad Social	Santa Úrsula	Hostelería	106			
2017	Empresa inscrita en la Seguridad Social	Santa Úrsula	Hostelería	96			
2016	Empresa inscrita en la Seguridad Social	Santa Úrsula	Hostelería	94			
2015	Empresa inscrita en la Seguridad Social	Santa Úrsula	Hostelería	88			
2023	Empresa inscrita en la Seguridad Social	Santiago del Teide	Hostelería	126			
2022	Empresa inscrita en la Seguridad Social	Santiago del Teide	Hostelería	123			
2021	Empresa inscrita en la Seguridad Social	Santiago del Teide	Hostelería	121			
2020	Empresa inscrita en la Seguridad Social	Santiago del Teide	Hostelería	121			
2019	Empresa inscrita en la Seguridad Social	Santiago del Teide	Hostelería	134			
2018	Empresa inscrita en la Seguridad Social	Santiago del Teide	Hostelería	135			
2017	Empresa inscrita en la Seguridad Social	Santiago del Teide	Hostelería	130			
2016	Empresa inscrita en la Seguridad Social	Santiago del Teide	Hostelería	132			
2015	Empresa inscrita en la Seguridad Social	Santiago del Teide	Hostelería	125			
2023	Empresa inscrita en la Seguridad Social	El Sauzal	Hostelería	49			
2022	Empresa inscrita en la Seguridad Social	El Sauzal	Hostelería	54			
2021	Empresa inscrita en la Seguridad Social	El Sauzal	Hostelería	50			
2020	Empresa inscrita en la Seguridad Social	El Sauzal	Hostelería	45			
2019	Empresa inscrita en la Seguridad Social	El Sauzal	Hostelería	47			
2018	Empresa inscrita en la Seguridad Social	El Sauzal	Hostelería	48			
2017	Empresa inscrita en la Seguridad Social	El Sauzal	Hostelería	49			
2016	Empresa inscrita en la Seguridad Social	El Sauzal	Hostelería	47			
2015	Empresa inscrita en la Seguridad Social	El Sauzal	Hostelería	47			
2023	Empresa inscrita en la Seguridad Social	Los Silos	Hostelería	16			
2022	Empresa inscrita en la Seguridad Social	Los Silos	Hostelería	17			
2021	Empresa inscrita en la Seguridad Social	Los Silos	Hostelería	15			
2020	Empresa inscrita en la Seguridad Social	Los Silos	Hostelería	13			
2019	Empresa inscrita en la Seguridad Social	Los Silos	Hostelería	14			
2018	Empresa inscrita en la Seguridad Social	Los Silos	Hostelería	12			
2017	Empresa inscrita en la Seguridad Social	Los Silos	Hostelería	14			
2016	Empresa inscrita en la Seguridad Social	Los Silos	Hostelería	17			
2015	Empresa inscrita en la Seguridad Social	Los Silos	Hostelería	14			
2023	Empresa inscrita en la Seguridad Social	Tacoronte	Hostelería	82			
2022	Empresa inscrita en la Seguridad Social	Tacoronte	Hostelería	81			
2021	Empresa inscrita en la Seguridad Social	Tacoronte	Hostelería	74			
2020	Empresa inscrita en la Seguridad Social	Tacoronte	Hostelería	67			
2019	Empresa inscrita en la Seguridad Social	Tacoronte	Hostelería	78			
2018	Empresa inscrita en la Seguridad Social	Tacoronte	Hostelería	76			
2017	Empresa inscrita en la Seguridad Social	Tacoronte	Hostelería	74			
2016	Empresa inscrita en la Seguridad Social	Tacoronte	Hostelería	75			
2015	Empresa inscrita en la Seguridad Social	Tacoronte	Hostelería	71			
2023	Empresa inscrita en la Seguridad Social	El Tanque	Hostelería	12			
2022	Empresa inscrita en la Seguridad Social	El Tanque	Hostelería	14			
2021	Empresa inscrita en la Seguridad Social	El Tanque	Hostelería	13			
2020	Empresa inscrita en la Seguridad Social	El Tanque	Hostelería	13			
2019	Empresa inscrita en la Seguridad Social	El Tanque	Hostelería	16			
2018	Empresa inscrita en la Seguridad Social	El Tanque	Hostelería	17			
2017	Empresa inscrita en la Seguridad Social	El Tanque	Hostelería	16			
2016	Empresa inscrita en la Seguridad Social	El Tanque	Hostelería	16			
2015	Empresa inscrita en la Seguridad Social	El Tanque	Hostelería	14			
2023	Empresa inscrita en la Seguridad Social	Tegueste	Hostelería	38			
2022	Empresa inscrita en la Seguridad Social	Tegueste	Hostelería	37			
2021	Empresa inscrita en la Seguridad Social	Tegueste	Hostelería	34			
2020	Empresa inscrita en la Seguridad Social	Tegueste	Hostelería	35			
2019	Empresa inscrita en la Seguridad Social	Tegueste	Hostelería	35			
2018	Empresa inscrita en la Seguridad Social	Tegueste	Hostelería	40			
2017	Empresa inscrita en la Seguridad Social	Tegueste	Hostelería	43			
2016	Empresa inscrita en la Seguridad Social	Tegueste	Hostelería	37			
2015	Empresa inscrita en la Seguridad Social	Tegueste	Hostelería	32			
2023	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Hostelería	28			
2022	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Hostelería	28			
2021	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Hostelería	28			
2020	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Hostelería	28			
2019	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Hostelería	28			
2018	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Hostelería	33			
2017	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Hostelería	32			
2016	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Hostelería	30			
2015	Empresa inscrita en la Seguridad Social	La Victoria de Acentejo	Hostelería	31			
2023	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Hostelería	15			
2022	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Hostelería	14			
2021	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Hostelería	14			
2020	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Hostelería	13			
2019	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Hostelería	15			
2018	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Hostelería	18			
2017	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Hostelería	17			
2016	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Hostelería	17			
2015	Empresa inscrita en la Seguridad Social	Vilaflor de Chasna	Hostelería	17			
