TERRITORIO	TIME_PERIOD	MEDIDAS	OBS_VALUE	ESTADO_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION
Santiago del Teide	2019	Renta bruta media por persona	10070		
Santiago del Teide	2018	Renta bruta media por persona	9516		
Santiago del Teide	2017	Renta bruta media por persona	9086		
Santiago del Teide	2016	Renta bruta media por persona	8044		
Santiago del Teide	2015	Renta bruta media por persona	8152		
El Sauzal	2021	Renta bruta media por persona	14688		
El Sauzal	2020	Renta bruta media por persona	14420		
El Sauzal	2019	Renta bruta media por persona	14134		
El Sauzal	2018	Renta bruta media por persona	13205		
El Sauzal	2017	Renta bruta media por persona	12234		
El Sauzal	2016	Renta bruta media por persona	11688		
El Sauzal	2015	Renta bruta media por persona	11516		
Los Silos	2021	Renta bruta media por persona	10813		
Los Silos	2020	Renta bruta media por persona	11062		
Los Silos	2019	Renta bruta media por persona	10299		
Los Silos	2018	Renta bruta media por persona	13295		
Los Silos	2017	Renta bruta media por persona	9149		
Los Silos	2016	Renta bruta media por persona	8555		
Los Silos	2015	Renta bruta media por persona	8530		
Tacoronte	2021	Renta bruta media por persona	14450		
Tacoronte	2020	Renta bruta media por persona	13505		
Tacoronte	2019	Renta bruta media por persona	13594		
Tacoronte	2018	Renta bruta media por persona	12815		
Tacoronte	2017	Renta bruta media por persona	11893		
Tacoronte	2016	Renta bruta media por persona	11521		
Tacoronte	2015	Renta bruta media por persona	11191		
El Tanque	2021	Renta bruta media por persona	9864		
El Tanque	2020	Renta bruta media por persona	9142		
El Tanque	2019	Renta bruta media por persona	9320		
El Tanque	2018	Renta bruta media por persona	8827		
El Tanque	2017	Renta bruta media por persona	8467		
El Tanque	2016	Renta bruta media por persona	7976		
El Tanque	2015	Renta bruta media por persona	7784		
Tegueste	2021	Renta bruta media por persona	16109		
Tegueste	2020	Renta bruta media por persona	15212		
Tegueste	2019	Renta bruta media por persona	15087		
Tegueste	2018	Renta bruta media por persona	14405		
Tegueste	2017	Renta bruta media por persona	13478		
Tegueste	2016	Renta bruta media por persona	13033		
Tegueste	2015	Renta bruta media por persona	12832		
La Victoria de Acentejo	2021	Renta bruta media por persona	10794		
La Victoria de Acentejo	2020	Renta bruta media por persona	10032		
La Victoria de Acentejo	2019	Renta bruta media por persona	10009		
La Victoria de Acentejo	2018	Renta bruta media por persona	9335		
La Victoria de Acentejo	2017	Renta bruta media por persona	8883		
La Victoria de Acentejo	2016	Renta bruta media por persona	8321		
La Victoria de Acentejo	2015	Renta bruta media por persona	8005		
Vilaflor de Chasna	2021	Renta bruta media por persona	12506		
Vilaflor de Chasna	2020	Renta bruta media por persona	11491		
Vilaflor de Chasna	2019	Renta bruta media por persona	12370		
Vilaflor de Chasna	2018	Renta bruta media por persona	11880		
Vilaflor de Chasna	2017	Renta bruta media por persona	11325		
Vilaflor de Chasna	2016	Renta bruta media por persona	10865		
Vilaflor de Chasna	2015	Renta bruta media por persona	10809		
