GEOGRAPHICAL	TIME	MEASURE	OBS_VALUE
Tacoronte	2023 Cuarto trimestre	Variación interperiódica	-189
Tacoronte	2023 Cuarto trimestre	Tasa variación interperiódica	-2.89
Tacoronte	2023 Cuarto trimestre	Dato	6360
Tacoronte	2023 Cuarto trimestre	Tasa variación anual	-0.69
El Tanque	2023 Cuarto trimestre	Variación anual	-40
El Tanque	2023 Cuarto trimestre	Variación interperiódica	-14
El Tanque	2023 Cuarto trimestre	Tasa variación interperiódica	-2.46
El Tanque	2023 Cuarto trimestre	Dato	554
El Tanque	2023 Cuarto trimestre	Tasa variación anual	-6.73
Tegueste	2023 Cuarto trimestre	Variación anual	75
Tegueste	2023 Cuarto trimestre	Variación interperiódica	45
Tegueste	2023 Cuarto trimestre	Tasa variación interperiódica	1.77
Tegueste	2023 Cuarto trimestre	Dato	2593
Tegueste	2023 Cuarto trimestre	Tasa variación anual	2.98
La Victoria de Acentejo	2023 Cuarto trimestre	Variación anual	-39
La Victoria de Acentejo	2023 Cuarto trimestre	Variación interperiódica	29
La Victoria de Acentejo	2023 Cuarto trimestre	Tasa variación interperiódica	1.48
La Victoria de Acentejo	2023 Cuarto trimestre	Dato	1994
La Victoria de Acentejo	2023 Cuarto trimestre	Tasa variación anual	-1.92
Vilaflor de Chasna	2023 Cuarto trimestre	Variación anual	-22
Vilaflor de Chasna	2023 Cuarto trimestre	Variación interperiódica	5
Vilaflor de Chasna	2023 Cuarto trimestre	Tasa variación interperiódica	1.03
Vilaflor de Chasna	2023 Cuarto trimestre	Dato	491
Vilaflor de Chasna	2023 Cuarto trimestre	Tasa variación anual	-4.29
Adeje	2023 Tercer trimestre	Variación anual	2495
Adeje	2023 Tercer trimestre	Variación interperiódica	534
Adeje	2023 Tercer trimestre	Tasa variación interperiódica	1.55
Adeje	2023 Tercer trimestre	Dato	34968
Adeje	2023 Tercer trimestre	Tasa variación anual	7.68
Arafo	2023 Tercer trimestre	Variación anual	252
Arafo	2023 Tercer trimestre	Variación interperiódica	171
Arafo	2023 Tercer trimestre	Tasa variación interperiódica	4.52
Arafo	2023 Tercer trimestre	Dato	3958
Arafo	2023 Tercer trimestre	Tasa variación anual	6.80
Arico	2023 Tercer trimestre	Variación anual	12
Arico	2023 Tercer trimestre	Variación interperiódica	12
Arico	2023 Tercer trimestre	Tasa variación interperiódica	0.60
Arico	2023 Tercer trimestre	Dato	2007
Arico	2023 Tercer trimestre	Tasa variación anual	0.60
Arona	2023 Tercer trimestre	Variación anual	1631
Arona	2023 Tercer trimestre	Variación interperiódica	393
Arona	2023 Tercer trimestre	Tasa variación interperiódica	1.23
Arona	2023 Tercer trimestre	Dato	32331
Arona	2023 Tercer trimestre	Tasa variación anual	5.31
Buenavista del Norte	2023 Tercer trimestre	Variación anual	6
Buenavista del Norte	2023 Tercer trimestre	Variación interperiódica	4
Buenavista del Norte	2023 Tercer trimestre	Tasa variación interperiódica	0.31
Buenavista del Norte	2023 Tercer trimestre	Dato	1301
Buenavista del Norte	2023 Tercer trimestre	Tasa variación anual	0.46
Candelaria	2023 Tercer trimestre	Variación anual	216
Candelaria	2023 Tercer trimestre	Variación interperiódica	-81
Candelaria	2023 Tercer trimestre	Tasa variación interperiódica	-1.08
Candelaria	2023 Tercer trimestre	Dato	7398
Candelaria	2023 Tercer trimestre	Tasa variación anual	3.01
Fasnia	2023 Tercer trimestre	Variación anual	13
Fasnia	2023 Tercer trimestre	Variación interperiódica	4
Fasnia	2023 Tercer trimestre	Tasa variación interperiódica	0.79
Fasnia	2023 Tercer trimestre	Dato	510
Fasnia	2023 Tercer trimestre	Tasa variación anual	2.62
Garachico	2023 Tercer trimestre	Variación anual	1
Garachico	2023 Tercer trimestre	Variación interperiódica	-13
Garachico	2023 Tercer trimestre	Tasa variación interperiódica	-1.08
Garachico	2023 Tercer trimestre	Dato	1189
Garachico	2023 Tercer trimestre	Tasa variación anual	0.08
Granadilla de Abona	2023 Tercer trimestre	Variación anual	1017
Granadilla de Abona	2023 Tercer trimestre	Variación interperiódica	141
Granadilla de Abona	2023 Tercer trimestre	Tasa variación interperiódica	0.97
Granadilla de Abona	2023 Tercer trimestre	Dato	14705
Granadilla de Abona	2023 Tercer trimestre	Tasa variación anual	7.43
La Guancha	2023 Tercer trimestre	Variación anual	14
La Guancha	2023 Tercer trimestre	Variación interperiódica	20
La Guancha	2023 Tercer trimestre	Tasa variación interperiódica	1.72
La Guancha	2023 Tercer trimestre	Dato	1180
La Guancha	2023 Tercer trimestre	Tasa variación anual	1.20
Guía de Isora	2023 Tercer trimestre	Variación anual	266
Guía de Isora	2023 Tercer trimestre	Variación interperiódica	147
Guía de Isora	2023 Tercer trimestre	Tasa variación interperiódica	2.00
Guía de Isora	2023 Tercer trimestre	Dato	7502
Guía de Isora	2023 Tercer trimestre	Tasa variación anual	3.68
Güímar	2023 Tercer trimestre	Variación anual	94
Güímar	2023 Tercer trimestre	Variación interperiódica	97
Güímar	2023 Tercer trimestre	Tasa variación interperiódica	1.62
Güímar	2023 Tercer trimestre	Dato	6077
Güímar	2023 Tercer trimestre	Tasa variación anual	1.57
Icod de los Vinos	2023 Tercer trimestre	Variación anual	213
Icod de los Vinos	2023 Tercer trimestre	Variación interperiódica	-18
Icod de los Vinos	2023 Tercer trimestre	Tasa variación interperiódica	-0.33
Icod de los Vinos	2023 Tercer trimestre	Dato	5450
Icod de los Vinos	2023 Tercer trimestre	Tasa variación anual	4.07
La Matanza de Acentejo	2023 Tercer trimestre	Variación anual	75
La Matanza de Acentejo	2023 Tercer trimestre	Variación interperiódica	5
La Matanza de Acentejo	2023 Tercer trimestre	Tasa variación interperiódica	0.24
La Matanza de Acentejo	2023 Tercer trimestre	Dato	2090
La Matanza de Acentejo	2023 Tercer trimestre	Tasa variación anual	3.72
La Orotava	2023 Tercer trimestre	Variación anual	185
La Orotava	2023 Tercer trimestre	Variación interperiódica	-26
La Orotava	2023 Tercer trimestre	Tasa variación interperiódica	-0.22
La Orotava	2023 Tercer trimestre	Dato	12058
La Orotava	2023 Tercer trimestre	Tasa variación anual	1.56
Puerto de la Cruz	2023 Tercer trimestre	Variación anual	1210
Puerto de la Cruz	2023 Tercer trimestre	Variación interperiódica	143
Puerto de la Cruz	2023 Tercer trimestre	Tasa variación interperiódica	1.01
Puerto de la Cruz	2023 Tercer trimestre	Dato	14368
Puerto de la Cruz	2023 Tercer trimestre	Tasa variación anual	9.20
Los Realejos	2023 Tercer trimestre	Variación anual	380
Los Realejos	2023 Tercer trimestre	Variación interperiódica	53
Los Realejos	2023 Tercer trimestre	Tasa variación interperiódica	0.69
Los Realejos	2023 Tercer trimestre	Dato	7704
Los Realejos	2023 Tercer trimestre	Tasa variación anual	5.19
El Rosario	2023 Tercer trimestre	Variación anual	159
El Rosario	2023 Tercer trimestre	Variación interperiódica	61
El Rosario	2023 Tercer trimestre	Tasa variación interperiódica	0.79
El Rosario	2023 Tercer trimestre	Dato	7780
El Rosario	2023 Tercer trimestre	Tasa variación anual	2.09
San Cristóbal de La Laguna	2023 Tercer trimestre	Variación anual	-41
San Cristóbal de La Laguna	2023 Tercer trimestre	Variación interperiódica	861
San Cristóbal de La Laguna	2023 Tercer trimestre	Tasa variación interperiódica	1.32
San Cristóbal de La Laguna	2023 Tercer trimestre	Dato	66078
San Cristóbal de La Laguna	2023 Tercer trimestre	Tasa variación anual	-0.06
San Juan de la Rambla	2023 Tercer trimestre	Variación anual	4
San Juan de la Rambla	2023 Tercer trimestre	Variación interperiódica	-10
San Juan de la Rambla	2023 Tercer trimestre	Tasa variación interperiódica	-1.05
San Juan de la Rambla	2023 Tercer trimestre	Dato	943
San Juan de la Rambla	2023 Tercer trimestre	Tasa variación anual	0.43
San Miguel de Abona	2023 Tercer trimestre	Variación anual	717
San Miguel de Abona	2023 Tercer trimestre	Variación interperiódica	236
San Miguel de Abona	2023 Tercer trimestre	Tasa variación interperiódica	2.63
San Miguel de Abona	2023 Tercer trimestre	Dato	9226
San Miguel de Abona	2023 Tercer trimestre	Tasa variación anual	8.43
Santa Cruz de Tenerife	2023 Tercer trimestre	Variación anual	5774
Santa Cruz de Tenerife	2023 Tercer trimestre	Variación interperiódica	3419
Santa Cruz de Tenerife	2023 Tercer trimestre	Tasa variación interperiódica	2.46
Santa Cruz de Tenerife	2023 Tercer trimestre	Dato	142236
Santa Cruz de Tenerife	2023 Tercer trimestre	Tasa variación anual	4.23
Santa Úrsula	2023 Tercer trimestre	Variación anual	-19
Santa Úrsula	2023 Tercer trimestre	Variación interperiódica	-102
Santa Úrsula	2023 Tercer trimestre	Tasa variación interperiódica	-2.62
Santa Úrsula	2023 Tercer trimestre	Dato	3789
Santa Úrsula	2023 Tercer trimestre	Tasa variación anual	-0.50
Santiago del Teide	2023 Tercer trimestre	Variación anual	332
Santiago del Teide	2023 Tercer trimestre	Variación interperiódica	96
Santiago del Teide	2023 Tercer trimestre	Tasa variación interperiódica	2.43
Santiago del Teide	2023 Tercer trimestre	Dato	4045
Santiago del Teide	2023 Tercer trimestre	Tasa variación anual	8.94
El Sauzal	2023 Tercer trimestre	Variación anual	13
El Sauzal	2023 Tercer trimestre	Variación interperiódica	-20
El Sauzal	2023 Tercer trimestre	Tasa variación interperiódica	-1.03
El Sauzal	2023 Tercer trimestre	Dato	1914
El Sauzal	2023 Tercer trimestre	Tasa variación anual	0.68
Los Silos	2023 Tercer trimestre	Variación anual	12
Los Silos	2023 Tercer trimestre	Variación interperiódica	-3
Los Silos	2023 Tercer trimestre	Tasa variación interperiódica	-0.27
Los Silos	2023 Tercer trimestre	Dato	1094
Los Silos	2023 Tercer trimestre	Tasa variación anual	1.11
Tacoronte	2023 Tercer trimestre	Variación anual	409
Tacoronte	2023 Tercer trimestre	Variación interperiódica	62
Tacoronte	2023 Tercer trimestre	Tasa variación interperiódica	0.96
Tacoronte	2023 Tercer trimestre	Dato	6549
Tacoronte	2023 Tercer trimestre	Tasa variación anual	6.66
El Tanque	2023 Tercer trimestre	Variación anual	-37
El Tanque	2023 Tercer trimestre	Variación interperiódica	-11
El Tanque	2023 Tercer trimestre	Tasa variación interperiódica	-1.90
El Tanque	2023 Tercer trimestre	Dato	568
El Tanque	2023 Tercer trimestre	Tasa variación anual	-6.12
Tegueste	2023 Tercer trimestre	Variación anual	49
Tegueste	2023 Tercer trimestre	Variación interperiódica	11
Tegueste	2023 Tercer trimestre	Tasa variación interperiódica	0.43
Tegueste	2023 Tercer trimestre	Dato	2548
Tegueste	2023 Tercer trimestre	Tasa variación anual	1.96
La Victoria de Acentejo	2023 Tercer trimestre	Variación anual	20
La Victoria de Acentejo	2023 Tercer trimestre	Variación interperiódica	-6
La Victoria de Acentejo	2023 Tercer trimestre	Tasa variación interperiódica	-0.30
La Victoria de Acentejo	2023 Tercer trimestre	Dato	1965
La Victoria de Acentejo	2023 Tercer trimestre	Tasa variación anual	1.03
Vilaflor de Chasna	2023 Tercer trimestre	Variación anual	0
Vilaflor de Chasna	2023 Tercer trimestre	Variación interperiódica	2
Vilaflor de Chasna	2023 Tercer trimestre	Tasa variación interperiódica	0.41
Vilaflor de Chasna	2023 Tercer trimestre	Dato	486
Vilaflor de Chasna	2023 Tercer trimestre	Tasa variación anual	0.00
Adeje	2023 Segundo trimestre	Variación anual	2612
Adeje	2023 Segundo trimestre	Variación interperiódica	522
Adeje	2023 Segundo trimestre	Tasa variación interperiódica	1.54
Adeje	2023 Segundo trimestre	Dato	34434
Adeje	2023 Segundo trimestre	Tasa variación anual	8.21
Arafo	2023 Segundo trimestre	Variación anual	272
Arafo	2023 Segundo trimestre	Variación interperiódica	-4
Arafo	2023 Segundo trimestre	Tasa variación interperiódica	-0.11
Arafo	2023 Segundo trimestre	Dato	3787
Arafo	2023 Segundo trimestre	Tasa variación anual	7.74
Arico	2023 Segundo trimestre	Variación anual	-10
Arico	2023 Segundo trimestre	Variación interperiódica	43
Arico	2023 Segundo trimestre	Tasa variación interperiódica	2.20
Arico	2023 Segundo trimestre	Dato	1995
Arico	2023 Segundo trimestre	Tasa variación anual	-0.50
Arona	2023 Segundo trimestre	Variación anual	2114
Arona	2023 Segundo trimestre	Variación interperiódica	250
Arona	2023 Segundo trimestre	Tasa variación interperiódica	0.79
Arona	2023 Segundo trimestre	Dato	31938
Arona	2023 Segundo trimestre	Tasa variación anual	7.09
Buenavista del Norte	2023 Segundo trimestre	Variación anual	31
Buenavista del Norte	2023 Segundo trimestre	Variación interperiódica	-35
Buenavista del Norte	2023 Segundo trimestre	Tasa variación interperiódica	-2.63
Buenavista del Norte	2023 Segundo trimestre	Dato	1297
Buenavista del Norte	2023 Segundo trimestre	Tasa variación anual	2.45
Candelaria	2023 Segundo trimestre	Variación anual	279
Candelaria	2023 Segundo trimestre	Variación interperiódica	72
Candelaria	2023 Segundo trimestre	Tasa variación interperiódica	0.97
Candelaria	2023 Segundo trimestre	Dato	7479
Candelaria	2023 Segundo trimestre	Tasa variación anual	3.88
Fasnia	2023 Segundo trimestre	Variación anual	26
Fasnia	2023 Segundo trimestre	Variación interperiódica	11
Fasnia	2023 Segundo trimestre	Tasa variación interperiódica	2.22
Fasnia	2023 Segundo trimestre	Dato	506
Fasnia	2023 Segundo trimestre	Tasa variación anual	5.42
Garachico	2023 Segundo trimestre	Variación anual	49
Garachico	2023 Segundo trimestre	Variación interperiódica	-11
Garachico	2023 Segundo trimestre	Tasa variación interperiódica	-0.91
Garachico	2023 Segundo trimestre	Dato	1202
Garachico	2023 Segundo trimestre	Tasa variación anual	4.25
Granadilla de Abona	2023 Segundo trimestre	Variación anual	1181
Granadilla de Abona	2023 Segundo trimestre	Variación interperiódica	44
Granadilla de Abona	2023 Segundo trimestre	Tasa variación interperiódica	0.30
Granadilla de Abona	2023 Segundo trimestre	Dato	14564
Granadilla de Abona	2023 Segundo trimestre	Tasa variación anual	8.82
La Guancha	2023 Segundo trimestre	Variación anual	1
La Guancha	2023 Segundo trimestre	Variación interperiódica	-11
La Guancha	2023 Segundo trimestre	Tasa variación interperiódica	-0.94
La Guancha	2023 Segundo trimestre	Dato	1160
La Guancha	2023 Segundo trimestre	Tasa variación anual	0.09
Guía de Isora	2023 Segundo trimestre	Variación anual	449
Guía de Isora	2023 Segundo trimestre	Variación interperiódica	-57
Guía de Isora	2023 Segundo trimestre	Tasa variación interperiódica	-0.77
Guía de Isora	2023 Segundo trimestre	Dato	7355
Guía de Isora	2023 Segundo trimestre	Tasa variación anual	6.50
Güímar	2023 Segundo trimestre	Variación anual	163
Güímar	2023 Segundo trimestre	Variación interperiódica	21
Güímar	2023 Segundo trimestre	Tasa variación interperiódica	0.35
Güímar	2023 Segundo trimestre	Dato	5980
Güímar	2023 Segundo trimestre	Tasa variación anual	2.80
Icod de los Vinos	2023 Segundo trimestre	Variación anual	355
Icod de los Vinos	2023 Segundo trimestre	Variación interperiódica	64
Icod de los Vinos	2023 Segundo trimestre	Tasa variación interperiódica	1.18
Icod de los Vinos	2023 Segundo trimestre	Dato	5468
Icod de los Vinos	2023 Segundo trimestre	Tasa variación anual	6.94
La Matanza de Acentejo	2023 Segundo trimestre	Variación anual	102
La Matanza de Acentejo	2023 Segundo trimestre	Variación interperiódica	34
La Matanza de Acentejo	2023 Segundo trimestre	Tasa variación interperiódica	1.66
La Matanza de Acentejo	2023 Segundo trimestre	Dato	2085
La Matanza de Acentejo	2023 Segundo trimestre	Tasa variación anual	5.14
La Orotava	2023 Segundo trimestre	Variación anual	325
La Orotava	2023 Segundo trimestre	Variación interperiódica	-9
La Orotava	2023 Segundo trimestre	Tasa variación interperiódica	-0.07
La Orotava	2023 Segundo trimestre	Dato	12084
La Orotava	2023 Segundo trimestre	Tasa variación anual	2.76
Puerto de la Cruz	2023 Segundo trimestre	Variación anual	1252
Puerto de la Cruz	2023 Segundo trimestre	Variación interperiódica	201
Puerto de la Cruz	2023 Segundo trimestre	Tasa variación interperiódica	1.43
Puerto de la Cruz	2023 Segundo trimestre	Dato	14225
Puerto de la Cruz	2023 Segundo trimestre	Tasa variación anual	9.65
Los Realejos	2023 Segundo trimestre	Variación anual	374
Los Realejos	2023 Segundo trimestre	Variación interperiódica	58
Los Realejos	2023 Segundo trimestre	Tasa variación interperiódica	0.76
Los Realejos	2023 Segundo trimestre	Dato	7651
Los Realejos	2023 Segundo trimestre	Tasa variación anual	5.14
El Rosario	2023 Segundo trimestre	Variación anual	392
El Rosario	2023 Segundo trimestre	Variación interperiódica	3
El Rosario	2023 Segundo trimestre	Tasa variación interperiódica	0.04
El Rosario	2023 Segundo trimestre	Dato	7719
El Rosario	2023 Segundo trimestre	Tasa variación anual	5.35
San Cristóbal de La Laguna	2023 Segundo trimestre	Variación anual	248
San Cristóbal de La Laguna	2023 Segundo trimestre	Variación interperiódica	476
San Cristóbal de La Laguna	2023 Segundo trimestre	Tasa variación interperiódica	0.74
San Cristóbal de La Laguna	2023 Segundo trimestre	Dato	65217
San Cristóbal de La Laguna	2023 Segundo trimestre	Tasa variación anual	0.38
San Juan de la Rambla	2023 Segundo trimestre	Variación anual	14
San Juan de la Rambla	2023 Segundo trimestre	Variación interperiódica	15
San Juan de la Rambla	2023 Segundo trimestre	Tasa variación interperiódica	1.60
San Juan de la Rambla	2023 Segundo trimestre	Dato	953
San Juan de la Rambla	2023 Segundo trimestre	Tasa variación anual	1.49
San Miguel de Abona	2023 Segundo trimestre	Variación anual	625
San Miguel de Abona	2023 Segundo trimestre	Variación interperiódica	199
San Miguel de Abona	2023 Segundo trimestre	Tasa variación interperiódica	2.26
San Miguel de Abona	2023 Segundo trimestre	Dato	8990
San Miguel de Abona	2023 Segundo trimestre	Tasa variación anual	7.47
Santa Cruz de Tenerife	2023 Segundo trimestre	Variación anual	4570
Santa Cruz de Tenerife	2023 Segundo trimestre	Variación interperiódica	149
Santa Cruz de Tenerife	2023 Segundo trimestre	Tasa variación interperiódica	0.11
Santa Cruz de Tenerife	2023 Segundo trimestre	Dato	138817
Santa Cruz de Tenerife	2023 Segundo trimestre	Tasa variación anual	3.40
Santa Úrsula	2023 Segundo trimestre	Variación anual	82
Santa Úrsula	2023 Segundo trimestre	Variación interperiódica	57
Santa Úrsula	2023 Segundo trimestre	Tasa variación interperiódica	1.49
Santa Úrsula	2023 Segundo trimestre	Dato	3891
Santa Úrsula	2023 Segundo trimestre	Tasa variación anual	2.15
Santiago del Teide	2023 Segundo trimestre	Variación anual	332
Santiago del Teide	2023 Segundo trimestre	Variación interperiódica	69
Santiago del Teide	2023 Segundo trimestre	Tasa variación interperiódica	1.78
Santiago del Teide	2023 Segundo trimestre	Dato	3949
Santiago del Teide	2023 Segundo trimestre	Tasa variación anual	9.18
El Sauzal	2023 Segundo trimestre	Variación anual	-23
El Sauzal	2023 Segundo trimestre	Variación interperiódica	-28
El Sauzal	2023 Segundo trimestre	Tasa variación interperiódica	-1.43
El Sauzal	2023 Segundo trimestre	Dato	1934
El Sauzal	2023 Segundo trimestre	Tasa variación anual	-1.18
Los Silos	2023 Segundo trimestre	Variación anual	11
Los Silos	2023 Segundo trimestre	Variación interperiódica	-16
Los Silos	2023 Segundo trimestre	Tasa variación interperiódica	-1.44
Los Silos	2023 Segundo trimestre	Dato	1097
Los Silos	2023 Segundo trimestre	Tasa variación anual	1.01
Tacoronte	2023 Segundo trimestre	Variación anual	337
Tacoronte	2023 Segundo trimestre	Variación interperiódica	95
