GEOGRAPHICAL	TIME	MEASURE	OBS_VALUE
La Guancha	2023 Cuarto trimestre	Dato	119
La Guancha	2023 Cuarto trimestre	Tasa variación anual	11.21
Guía de Isora	2023 Cuarto trimestre	Variación anual	272
Guía de Isora	2023 Cuarto trimestre	Variación interperiódica	183
Guía de Isora	2023 Cuarto trimestre	Tasa variación interperiódica	6.36
Guía de Isora	2023 Cuarto trimestre	Dato	3061
Guía de Isora	2023 Cuarto trimestre	Tasa variación anual	9.75
Güímar	2023 Cuarto trimestre	Variación anual	26
Güímar	2023 Cuarto trimestre	Variación interperiódica	-9
Güímar	2023 Cuarto trimestre	Tasa variación interperiódica	-2.45
Güímar	2023 Cuarto trimestre	Dato	358
Güímar	2023 Cuarto trimestre	Tasa variación anual	7.83
Icod de los Vinos	2023 Cuarto trimestre	Variación anual	48
Icod de los Vinos	2023 Cuarto trimestre	Variación interperiódica	49
Icod de los Vinos	2023 Cuarto trimestre	Tasa variación interperiódica	10.21
Icod de los Vinos	2023 Cuarto trimestre	Dato	529
Icod de los Vinos	2023 Cuarto trimestre	Tasa variación anual	9.98
La Matanza de Acentejo	2023 Cuarto trimestre	Variación anual	2
La Matanza de Acentejo	2023 Cuarto trimestre	Variación interperiódica	13
La Matanza de Acentejo	2023 Cuarto trimestre	Tasa variación interperiódica	3.87
La Matanza de Acentejo	2023 Cuarto trimestre	Dato	349
La Matanza de Acentejo	2023 Cuarto trimestre	Tasa variación anual	0.58
La Orotava	2023 Cuarto trimestre	Variación anual	37
La Orotava	2023 Cuarto trimestre	Variación interperiódica	53
La Orotava	2023 Cuarto trimestre	Tasa variación interperiódica	5.00
La Orotava	2023 Cuarto trimestre	Dato	1114
La Orotava	2023 Cuarto trimestre	Tasa variación anual	3.44
Puerto de La Cruz	2023 Cuarto trimestre	Variación anual	449
Puerto de La Cruz	2023 Cuarto trimestre	Variación interperiódica	57
Puerto de La Cruz	2023 Cuarto trimestre	Tasa variación interperiódica	0.98
Puerto de La Cruz	2023 Cuarto trimestre	Dato	5879
Puerto de La Cruz	2023 Cuarto trimestre	Tasa variación anual	8.27
Los Realejos	2023 Cuarto trimestre	Variación anual	3
Los Realejos	2023 Cuarto trimestre	Variación interperiódica	4
Los Realejos	2023 Cuarto trimestre	Tasa variación interperiódica	0.51
Los Realejos	2023 Cuarto trimestre	Dato	781
Los Realejos	2023 Cuarto trimestre	Tasa variación anual	0.39
El Rosario	2023 Cuarto trimestre	Variación anual	-8
El Rosario	2023 Cuarto trimestre	Variación interperiódica	-3
El Rosario	2023 Cuarto trimestre	Tasa variación interperiódica	-0.65
El Rosario	2023 Cuarto trimestre	Dato	460
El Rosario	2023 Cuarto trimestre	Tasa variación anual	-1.71
San Cristóbal de La Laguna	2023 Cuarto trimestre	Variación anual	314
San Cristóbal de La Laguna	2023 Cuarto trimestre	Variación interperiódica	213
San Cristóbal de La Laguna	2023 Cuarto trimestre	Tasa variación interperiódica	4.56
San Cristóbal de La Laguna	2023 Cuarto trimestre	Dato	4882
San Cristóbal de La Laguna	2023 Cuarto trimestre	Tasa variación anual	6.87
San Juan de la Rambla	2023 Cuarto trimestre	Variación anual	-1
San Juan de la Rambla	2023 Cuarto trimestre	Variación interperiódica	7
San Juan de la Rambla	2023 Cuarto trimestre	Tasa variación interperiódica	6.42
San Juan de la Rambla	2023 Cuarto trimestre	Dato	116
San Juan de la Rambla	2023 Cuarto trimestre	Tasa variación anual	-0.85
San Miguel de Abona	2023 Cuarto trimestre	Variación anual	249
San Miguel de Abona	2023 Cuarto trimestre	Variación interperiódica	91
San Miguel de Abona	2023 Cuarto trimestre	Tasa variación interperiódica	4.49
San Miguel de Abona	2023 Cuarto trimestre	Dato	2117
San Miguel de Abona	2023 Cuarto trimestre	Tasa variación anual	13.33
Santa Cruz de Tenerife	2023 Cuarto trimestre	Variación anual	263
Santa Cruz de Tenerife	2023 Cuarto trimestre	Variación interperiódica	264
Santa Cruz de Tenerife	2023 Cuarto trimestre	Tasa variación interperiódica	3.72
Santa Cruz de Tenerife	2023 Cuarto trimestre	Dato	7367
Santa Cruz de Tenerife	2023 Cuarto trimestre	Tasa variación anual	3.70
Santa Úrsula	2023 Cuarto trimestre	Variación anual	-6
Santa Úrsula	2023 Cuarto trimestre	Variación interperiódica	16
Santa Úrsula	2023 Cuarto trimestre	Tasa variación interperiódica	2.70
Santa Úrsula	2023 Cuarto trimestre	Dato	609
Santa Úrsula	2023 Cuarto trimestre	Tasa variación anual	-0.98
Santiago del Teide	2023 Cuarto trimestre	Variación anual	126
Santiago del Teide	2023 Cuarto trimestre	Variación interperiódica	16
Santiago del Teide	2023 Cuarto trimestre	Tasa variación interperiódica	0.84
Santiago del Teide	2023 Cuarto trimestre	Dato	1912
Santiago del Teide	2023 Cuarto trimestre	Tasa variación anual	7.05
El Sauzal	2023 Cuarto trimestre	Variación anual	51
El Sauzal	2023 Cuarto trimestre	Variación interperiódica	57
El Sauzal	2023 Cuarto trimestre	Tasa variación interperiódica	18.51
El Sauzal	2023 Cuarto trimestre	Dato	365
El Sauzal	2023 Cuarto trimestre	Tasa variación anual	16.24
Los Silos	2023 Cuarto trimestre	Variación anual	9
Los Silos	2023 Cuarto trimestre	Variación interperiódica	8
Los Silos	2023 Cuarto trimestre	Tasa variación interperiódica	7.48
Los Silos	2023 Cuarto trimestre	Dato	115
Los Silos	2023 Cuarto trimestre	Tasa variación anual	8.49
Tacoronte	2023 Cuarto trimestre	Variación anual	-27
Tacoronte	2023 Cuarto trimestre	Variación interperiódica	-28
Tacoronte	2023 Cuarto trimestre	Tasa variación interperiódica	-4.17
Tacoronte	2023 Cuarto trimestre	Dato	643
Tacoronte	2023 Cuarto trimestre	Tasa variación anual	-4.03
El Tanque	2023 Cuarto trimestre	Variación anual	-4
El Tanque	2023 Cuarto trimestre	Variación interperiódica	2
El Tanque	2023 Cuarto trimestre	Tasa variación interperiódica	2.41
El Tanque	2023 Cuarto trimestre	Dato	85
El Tanque	2023 Cuarto trimestre	Tasa variación anual	-4.49
Tegueste	2023 Cuarto trimestre	Variación anual	-9
Tegueste	2023 Cuarto trimestre	Variación interperiódica	-1
Tegueste	2023 Cuarto trimestre	Tasa variación interperiódica	-0.41
Tegueste	2023 Cuarto trimestre	Dato	242
Tegueste	2023 Cuarto trimestre	Tasa variación anual	-3.59
La Victoria de Acentejo	2023 Cuarto trimestre	Variación anual	-14
La Victoria de Acentejo	2023 Cuarto trimestre	Variación interperiódica	18
La Victoria de Acentejo	2023 Cuarto trimestre	Tasa variación interperiódica	9.52
La Victoria de Acentejo	2023 Cuarto trimestre	Dato	207
La Victoria de Acentejo	2023 Cuarto trimestre	Tasa variación anual	-6.33
Vilaflor de Chasna	2023 Cuarto trimestre	Variación anual	-6
Vilaflor de Chasna	2023 Cuarto trimestre	Variación interperiódica	15
Vilaflor de Chasna	2023 Cuarto trimestre	Tasa variación interperiódica	15.79
Vilaflor de Chasna	2023 Cuarto trimestre	Dato	110
Vilaflor de Chasna	2023 Cuarto trimestre	Tasa variación anual	-5.17
Adeje	2023 Tercer trimestre	Variación anual	1498
Adeje	2023 Tercer trimestre	Variación interperiódica	470
Adeje	2023 Tercer trimestre	Tasa variación interperiódica	2.49
Adeje	2023 Tercer trimestre	Dato	19355
Adeje	2023 Tercer trimestre	Tasa variación anual	8.39
Arafo	2023 Tercer trimestre	Variación anual	10
Arafo	2023 Tercer trimestre	Variación interperiódica	91
Arafo	2023 Tercer trimestre	Tasa variación interperiódica	30.43
Arafo	2023 Tercer trimestre	Dato	390
Arafo	2023 Tercer trimestre	Tasa variación anual	2.63
Arico	2023 Tercer trimestre	Variación anual	13
Arico	2023 Tercer trimestre	Variación interperiódica	-8
Arico	2023 Tercer trimestre	Tasa variación interperiódica	-2.78
Arico	2023 Tercer trimestre	Dato	280
Arico	2023 Tercer trimestre	Tasa variación anual	4.87
Arona	2023 Tercer trimestre	Variación anual	515
Arona	2023 Tercer trimestre	Variación interperiódica	127
Arona	2023 Tercer trimestre	Tasa variación interperiódica	1.04
Arona	2023 Tercer trimestre	Dato	12336
Arona	2023 Tercer trimestre	Tasa variación anual	4.36
Buenavista del Norte	2023 Tercer trimestre	Variación anual	13
Buenavista del Norte	2023 Tercer trimestre	Variación interperiódica	18
Buenavista del Norte	2023 Tercer trimestre	Tasa variación interperiódica	6.45
Buenavista del Norte	2023 Tercer trimestre	Dato	297
Buenavista del Norte	2023 Tercer trimestre	Tasa variación anual	4.58
Candelaria	2023 Tercer trimestre	Variación anual	-9
Candelaria	2023 Tercer trimestre	Variación interperiódica	-32
Candelaria	2023 Tercer trimestre	Tasa variación interperiódica	-2.99
Candelaria	2023 Tercer trimestre	Dato	1040
Candelaria	2023 Tercer trimestre	Tasa variación anual	-0.86
Fasnia	2023 Tercer trimestre	Variación anual	-5
Fasnia	2023 Tercer trimestre	Variación interperiódica	1
Fasnia	2023 Tercer trimestre	Tasa variación interperiódica	1.49
Fasnia	2023 Tercer trimestre	Dato	68
Fasnia	2023 Tercer trimestre	Tasa variación anual	-6.85
Garachico	2023 Tercer trimestre	Variación anual	-6
Garachico	2023 Tercer trimestre	Variación interperiódica	6
Garachico	2023 Tercer trimestre	Tasa variación interperiódica	1.81
Garachico	2023 Tercer trimestre	Dato	337
Garachico	2023 Tercer trimestre	Tasa variación anual	-1.75
Granadilla de Abona	2023 Tercer trimestre	Variación anual	153
Granadilla de Abona	2023 Tercer trimestre	Variación interperiódica	24
Granadilla de Abona	2023 Tercer trimestre	Tasa variación interperiódica	1.24
Granadilla de Abona	2023 Tercer trimestre	Dato	1952
Granadilla de Abona	2023 Tercer trimestre	Tasa variación anual	8.50
La Guancha	2023 Tercer trimestre	Variación anual	25
La Guancha	2023 Tercer trimestre	Variación interperiódica	4
La Guancha	2023 Tercer trimestre	Tasa variación interperiódica	3.48
La Guancha	2023 Tercer trimestre	Dato	119
La Guancha	2023 Tercer trimestre	Tasa variación anual	26.60
Guía de Isora	2023 Tercer trimestre	Variación anual	159
Guía de Isora	2023 Tercer trimestre	Variación interperiódica	90
Guía de Isora	2023 Tercer trimestre	Tasa variación interperiódica	3.23
Guía de Isora	2023 Tercer trimestre	Dato	2878
Guía de Isora	2023 Tercer trimestre	Tasa variación anual	5.85
Güímar	2023 Tercer trimestre	Variación anual	6
Güímar	2023 Tercer trimestre	Variación interperiódica	-4
Güímar	2023 Tercer trimestre	Tasa variación interperiódica	-1.08
Güímar	2023 Tercer trimestre	Dato	367
Güímar	2023 Tercer trimestre	Tasa variación anual	1.66
Icod de los Vinos	2023 Tercer trimestre	Variación anual	8
Icod de los Vinos	2023 Tercer trimestre	Variación interperiódica	-16
Icod de los Vinos	2023 Tercer trimestre	Tasa variación interperiódica	-3.23
Icod de los Vinos	2023 Tercer trimestre	Dato	480
Icod de los Vinos	2023 Tercer trimestre	Tasa variación anual	1.69
La Matanza de Acentejo	2023 Tercer trimestre	Variación anual	4
La Matanza de Acentejo	2023 Tercer trimestre	Variación interperiódica	-21
La Matanza de Acentejo	2023 Tercer trimestre	Tasa variación interperiódica	-5.88
La Matanza de Acentejo	2023 Tercer trimestre	Dato	336
La Matanza de Acentejo	2023 Tercer trimestre	Tasa variación anual	1.20
La Orotava	2023 Tercer trimestre	Variación anual	-27
La Orotava	2023 Tercer trimestre	Variación interperiódica	-29
La Orotava	2023 Tercer trimestre	Tasa variación interperiódica	-2.66
La Orotava	2023 Tercer trimestre	Dato	1061
La Orotava	2023 Tercer trimestre	Tasa variación anual	-2.48
Puerto de La Cruz	2023 Tercer trimestre	Variación anual	597
Puerto de La Cruz	2023 Tercer trimestre	Variación interperiódica	-44
Puerto de La Cruz	2023 Tercer trimestre	Tasa variación interperiódica	-0.75
Puerto de La Cruz	2023 Tercer trimestre	Dato	5822
Puerto de La Cruz	2023 Tercer trimestre	Tasa variación anual	11.43
Los Realejos	2023 Tercer trimestre	Variación anual	55
Los Realejos	2023 Tercer trimestre	Variación interperiódica	-16
Los Realejos	2023 Tercer trimestre	Tasa variación interperiódica	-2.02
Los Realejos	2023 Tercer trimestre	Dato	777
Los Realejos	2023 Tercer trimestre	Tasa variación anual	7.62
El Rosario	2023 Tercer trimestre	Variación anual	-4
El Rosario	2023 Tercer trimestre	Variación interperiódica	5
El Rosario	2023 Tercer trimestre	Tasa variación interperiódica	1.09
El Rosario	2023 Tercer trimestre	Dato	463
El Rosario	2023 Tercer trimestre	Tasa variación anual	-0.86
San Cristóbal de La Laguna	2023 Tercer trimestre	Variación anual	240
San Cristóbal de La Laguna	2023 Tercer trimestre	Variación interperiódica	13
San Cristóbal de La Laguna	2023 Tercer trimestre	Tasa variación interperiódica	0.28
San Cristóbal de La Laguna	2023 Tercer trimestre	Dato	4669
San Cristóbal de La Laguna	2023 Tercer trimestre	Tasa variación anual	5.42
San Juan de la Rambla	2023 Tercer trimestre	Variación anual	2
San Juan de la Rambla	2023 Tercer trimestre	Variación interperiódica	-9
San Juan de la Rambla	2023 Tercer trimestre	Tasa variación interperiódica	-7.63
San Juan de la Rambla	2023 Tercer trimestre	Dato	109
San Juan de la Rambla	2023 Tercer trimestre	Tasa variación anual	1.87
San Miguel de Abona	2023 Tercer trimestre	Variación anual	184
San Miguel de Abona	2023 Tercer trimestre	Variación interperiódica	71
San Miguel de Abona	2023 Tercer trimestre	Tasa variación interperiódica	3.63
San Miguel de Abona	2023 Tercer trimestre	Dato	2026
San Miguel de Abona	2023 Tercer trimestre	Tasa variación anual	9.99
Santa Cruz de Tenerife	2023 Tercer trimestre	Variación anual	285
Santa Cruz de Tenerife	2023 Tercer trimestre	Variación interperiódica	517
Santa Cruz de Tenerife	2023 Tercer trimestre	Tasa variación interperiódica	7.85
Santa Cruz de Tenerife	2023 Tercer trimestre	Dato	7103
Santa Cruz de Tenerife	2023 Tercer trimestre	Tasa variación anual	4.18
Santa Úrsula	2023 Tercer trimestre	Variación anual	-9
Santa Úrsula	2023 Tercer trimestre	Variación interperiódica	-11
Santa Úrsula	2023 Tercer trimestre	Tasa variación interperiódica	-1.82
Santa Úrsula	2023 Tercer trimestre	Dato	593
Santa Úrsula	2023 Tercer trimestre	Tasa variación anual	-1.50
Santiago del Teide	2023 Tercer trimestre	Variación anual	207
Santiago del Teide	2023 Tercer trimestre	Variación interperiódica	46
Santiago del Teide	2023 Tercer trimestre	Tasa variación interperiódica	2.49
Santiago del Teide	2023 Tercer trimestre	Dato	1896
Santiago del Teide	2023 Tercer trimestre	Tasa variación anual	12.26
El Sauzal	2023 Tercer trimestre	Variación anual	9
El Sauzal	2023 Tercer trimestre	Variación interperiódica	1
El Sauzal	2023 Tercer trimestre	Tasa variación interperiódica	0.33
El Sauzal	2023 Tercer trimestre	Dato	308
El Sauzal	2023 Tercer trimestre	Tasa variación anual	3.01
Los Silos	2023 Tercer trimestre	Variación anual	5
Los Silos	2023 Tercer trimestre	Variación interperiódica	-1
Los Silos	2023 Tercer trimestre	Tasa variación interperiódica	-0.93
Los Silos	2023 Tercer trimestre	Dato	107
Los Silos	2023 Tercer trimestre	Tasa variación anual	4.90
Tacoronte	2023 Tercer trimestre	Variación anual	24
Tacoronte	2023 Tercer trimestre	Variación interperiódica	-12
Tacoronte	2023 Tercer trimestre	Tasa variación interperiódica	-1.76
Tacoronte	2023 Tercer trimestre	Dato	671
Tacoronte	2023 Tercer trimestre	Tasa variación anual	3.71
El Tanque	2023 Tercer trimestre	Variación anual	-7
El Tanque	2023 Tercer trimestre	Variación interperiódica	-6
El Tanque	2023 Tercer trimestre	Tasa variación interperiódica	-6.74
El Tanque	2023 Tercer trimestre	Dato	83
El Tanque	2023 Tercer trimestre	Tasa variación anual	-7.78
Tegueste	2023 Tercer trimestre	Variación anual	9
Tegueste	2023 Tercer trimestre	Variación interperiódica	-3
Tegueste	2023 Tercer trimestre	Tasa variación interperiódica	-1.22
Tegueste	2023 Tercer trimestre	Dato	243
Tegueste	2023 Tercer trimestre	Tasa variación anual	3.85
La Victoria de Acentejo	2023 Tercer trimestre	Variación anual	12
La Victoria de Acentejo	2023 Tercer trimestre	Variación interperiódica	-19
La Victoria de Acentejo	2023 Tercer trimestre	Tasa variación interperiódica	-9.13
La Victoria de Acentejo	2023 Tercer trimestre	Dato	189
La Victoria de Acentejo	2023 Tercer trimestre	Tasa variación anual	6.78
Vilaflor de Chasna	2023 Tercer trimestre	Variación anual	-7
Vilaflor de Chasna	2023 Tercer trimestre	Variación interperiódica	-1
Vilaflor de Chasna	2023 Tercer trimestre	Tasa variación interperiódica	-1.04
Vilaflor de Chasna	2023 Tercer trimestre	Dato	95
Vilaflor de Chasna	2023 Tercer trimestre	Tasa variación anual	-6.86
Adeje	2023 Segundo trimestre	Variación anual	1375
Adeje	2023 Segundo trimestre	Variación interperiódica	187
Adeje	2023 Segundo trimestre	Tasa variación interperiódica	1.00
Adeje	2023 Segundo trimestre	Dato	18885
Adeje	2023 Segundo trimestre	Tasa variación anual	7.85
Arafo	2023 Segundo trimestre	Variación anual	-19
Arafo	2023 Segundo trimestre	Variación interperiódica	-91
Arafo	2023 Segundo trimestre	Tasa variación interperiódica	-23.33
Arafo	2023 Segundo trimestre	Dato	299
Arafo	2023 Segundo trimestre	Tasa variación anual	-5.97
Arico	2023 Segundo trimestre	Variación anual	18
Arico	2023 Segundo trimestre	Variación interperiódica	2
Arico	2023 Segundo trimestre	Tasa variación interperiódica	0.70
Arico	2023 Segundo trimestre	Dato	288
Arico	2023 Segundo trimestre	Tasa variación anual	6.67
Arona	2023 Segundo trimestre	Variación anual	934
Arona	2023 Segundo trimestre	Variación interperiódica	124
Arona	2023 Segundo trimestre	Tasa variación interperiódica	1.03
Arona	2023 Segundo trimestre	Dato	12209
Arona	2023 Segundo trimestre	Tasa variación anual	8.28
Buenavista del Norte	2023 Segundo trimestre	Variación anual	10
Buenavista del Norte	2023 Segundo trimestre	Variación interperiódica	-21
Buenavista del Norte	2023 Segundo trimestre	Tasa variación interperiódica	-7.00
Buenavista del Norte	2023 Segundo trimestre	Dato	279
Buenavista del Norte	2023 Segundo trimestre	Tasa variación anual	3.72
Candelaria	2023 Segundo trimestre	Variación anual	-12
Candelaria	2023 Segundo trimestre	Variación interperiódica	29
Candelaria	2023 Segundo trimestre	Tasa variación interperiódica	2.78
Candelaria	2023 Segundo trimestre	Dato	1072
Candelaria	2023 Segundo trimestre	Tasa variación anual	-1.11
Fasnia	2023 Segundo trimestre	Variación anual	1
Fasnia	2023 Segundo trimestre	Variación interperiódica	0
Fasnia	2023 Segundo trimestre	Tasa variación interperiódica	0.00
Fasnia	2023 Segundo trimestre	Dato	67
Fasnia	2023 Segundo trimestre	Tasa variación anual	1.52
Garachico	2023 Segundo trimestre	Variación anual	14
Garachico	2023 Segundo trimestre	Variación interperiódica	-20
Garachico	2023 Segundo trimestre	Tasa variación interperiódica	-5.70
Garachico	2023 Segundo trimestre	Dato	331
Garachico	2023 Segundo trimestre	Tasa variación anual	4.42
Granadilla de Abona	2023 Segundo trimestre	Variación anual	200
Granadilla de Abona	2023 Segundo trimestre	Variación interperiódica	11
Granadilla de Abona	2023 Segundo trimestre	Tasa variación interperiódica	0.57
Granadilla de Abona	2023 Segundo trimestre	Dato	1928
Granadilla de Abona	2023 Segundo trimestre	Tasa variación anual	11.57
La Guancha	2023 Segundo trimestre	Variación anual	29
La Guancha	2023 Segundo trimestre	Variación interperiódica	17
La Guancha	2023 Segundo trimestre	Tasa variación interperiódica	17.35
La Guancha	2023 Segundo trimestre	Dato	115
La Guancha	2023 Segundo trimestre	Tasa variación anual	33.72
Guía de Isora	2023 Segundo trimestre	Variación anual	249
Guía de Isora	2023 Segundo trimestre	Variación interperiódica	-58
Guía de Isora	2023 Segundo trimestre	Tasa variación interperiódica	-2.04
Guía de Isora	2023 Segundo trimestre	Dato	2788
Guía de Isora	2023 Segundo trimestre	Tasa variación anual	9.81
Güímar	2023 Segundo trimestre	Variación anual	-2
Güímar	2023 Segundo trimestre	Variación interperiódica	19
Güímar	2023 Segundo trimestre	Tasa variación interperiódica	5.40
Güímar	2023 Segundo trimestre	Dato	371
Güímar	2023 Segundo trimestre	Tasa variación anual	-0.54
Icod de los Vinos	2023 Segundo trimestre	Variación anual	22
Icod de los Vinos	2023 Segundo trimestre	Variación interperiódica	16
Icod de los Vinos	2023 Segundo trimestre	Tasa variación interperiódica	3.33
Icod de los Vinos	2023 Segundo trimestre	Dato	496
Icod de los Vinos	2023 Segundo trimestre	Tasa variación anual	4.64
La Matanza de Acentejo	2023 Segundo trimestre	Variación anual	16
La Matanza de Acentejo	2023 Segundo trimestre	Variación interperiódica	10
La Matanza de Acentejo	2023 Segundo trimestre	Tasa variación interperiódica	2.88
La Matanza de Acentejo	2023 Segundo trimestre	Dato	357
La Matanza de Acentejo	2023 Segundo trimestre	Tasa variación anual	4.69
La Orotava	2023 Segundo trimestre	Variación anual	18
La Orotava	2023 Segundo trimestre	Variación interperiódica	-10
La Orotava	2023 Segundo trimestre	Tasa variación interperiódica	-0.91
La Orotava	2023 Segundo trimestre	Dato	1090
La Orotava	2023 Segundo trimestre	Tasa variación anual	1.68
Puerto de La Cruz	2023 Segundo trimestre	Variación anual	824
Puerto de La Cruz	2023 Segundo trimestre	Variación interperiódica	64
Puerto de La Cruz	2023 Segundo trimestre	Tasa variación interperiódica	1.10
Puerto de La Cruz	2023 Segundo trimestre	Dato	5866
Puerto de La Cruz	2023 Segundo trimestre	Tasa variación anual	16.34
Los Realejos	2023 Segundo trimestre	Variación anual	60
Los Realejos	2023 Segundo trimestre	Variación interperiódica	24
Los Realejos	2023 Segundo trimestre	Tasa variación interperiódica	3.12
Los Realejos	2023 Segundo trimestre	Dato	793
Los Realejos	2023 Segundo trimestre	Tasa variación anual	8.19
El Rosario	2023 Segundo trimestre	Variación anual	2
El Rosario	2023 Segundo trimestre	Variación interperiódica	-20
El Rosario	2023 Segundo trimestre	Tasa variación interperiódica	-4.18
El Rosario	2023 Segundo trimestre	Dato	458
El Rosario	2023 Segundo trimestre	Tasa variación anual	0.44
San Cristóbal de La Laguna	2023 Segundo trimestre	Variación anual	258
San Cristóbal de La Laguna	2023 Segundo trimestre	Variación interperiódica	10
San Cristóbal de La Laguna	2023 Segundo trimestre	Tasa variación interperiódica	0.22
San Cristóbal de La Laguna	2023 Segundo trimestre	Dato	4656
San Cristóbal de La Laguna	2023 Segundo trimestre	Tasa variación anual	5.87
San Juan de la Rambla	2023 Segundo trimestre	Variación anual	10
San Juan de la Rambla	2023 Segundo trimestre	Variación interperiódica	-3
San Juan de la Rambla	2023 Segundo trimestre	Tasa variación interperiódica	-2.48
San Juan de la Rambla	2023 Segundo trimestre	Dato	118
San Juan de la Rambla	2023 Segundo trimestre	Tasa variación anual	9.26
San Miguel de Abona	2023 Segundo trimestre	Variación anual	138
San Miguel de Abona	2023 Segundo trimestre	Variación interperiódica	25
San Miguel de Abona	2023 Segundo trimestre	Tasa variación interperiódica	1.30
San Miguel de Abona	2023 Segundo trimestre	Dato	1955
San Miguel de Abona	2023 Segundo trimestre	Tasa variación anual	7.59
Santa Cruz de Tenerife	2023 Segundo trimestre	Variación anual	385
Santa Cruz de Tenerife	2023 Segundo trimestre	Variación interperiódica	-532
Santa Cruz de Tenerife	2023 Segundo trimestre	Tasa variación interperiódica	-7.47
Santa Cruz de Tenerife	2023 Segundo trimestre	Dato	6586
Santa Cruz de Tenerife	2023 Segundo trimestre	Tasa variación anual	6.21
Santa Úrsula	2023 Segundo trimestre	Variación anual	-20
Santa Úrsula	2023 Segundo trimestre	Variación interperiódica	-7
Santa Úrsula	2023 Segundo trimestre	Tasa variación interperiódica	-1.15
Santa Úrsula	2023 Segundo trimestre	Dato	604
Santa Úrsula	2023 Segundo trimestre	Tasa variación anual	-3.21
Santiago del Teide	2023 Segundo trimestre	Variación anual	216
Santiago del Teide	2023 Segundo trimestre	Variación interperiódica	15
Santiago del Teide	2023 Segundo trimestre	Tasa variación interperiódica	0.82
Santiago del Teide	2023 Segundo trimestre	Dato	1850
Santiago del Teide	2023 Segundo trimestre	Tasa variación anual	13.22
El Sauzal	2023 Segundo trimestre	Variación anual	-17
El Sauzal	2023 Segundo trimestre	Variación interperiódica	-22
El Sauzal	2023 Segundo trimestre	Tasa variación interperiódica	-6.69
El Sauzal	2023 Segundo trimestre	Dato	307
El Sauzal	2023 Segundo trimestre	Tasa variación anual	-5.25
Los Silos	2023 Segundo trimestre	Variación anual	-1
Los Silos	2023 Segundo trimestre	Variación interperiódica	2
Los Silos	2023 Segundo trimestre	Tasa variación interperiódica	1.89
Los Silos	2023 Segundo trimestre	Dato	108
Los Silos	2023 Segundo trimestre	Tasa variación anual	-0.92
Tacoronte	2023 Segundo trimestre	Variación anual	28
Tacoronte	2023 Segundo trimestre	Variación interperiódica	16
