actividad_tipo,nombre,tipo_via_codigo,tipo_via_descripcion,direccion_nombre_via,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,referencia,web,email,telefono,fax,longitud,latitud,fecha_creacion,fecha_actualizacion
electricidad electronica,Abosek Electronica,CL,Calle,Garcilaso de la Vega,11,38005,38038,Santa Cruz de Tenerife,,,ricardo.company@infonegocio.com,922226377.0,,-16.258202,28.46215999,2016-05-09T12:45:15.374000,2015-08-04T10:26:16.678000
moda complementos infantil,Abuela Lala,CL,Calle,San Lucas,32,38003,38038,Santa Cruz de Tenerife,,www.tienda.abuelalala.es,info@abuelalala.es,639649292.0,,-16.25312541,28.46821388,2022-04-22T12:09:52.592000,2022-04-22T12:09:52.592000
bazar multitienda estanco,AC Comercial,CL,Calle,Perdomo,2,38400,38028,Puerto de la Cruz,Esq Cl Mequinez,,,,,-16.55135035,28.41761719,2022-04-22T12:09:52.592000,2022-04-22T12:09:52.592000
hogar muebles electrodomesticos decoracion,ACADESA Asociacion Canaria de Electrodomesticos,CL,Calle,La Campana,6,38109,38032,El Rosario,PI La Campana San Isidro,www.acadesa.com,info@acadesa.com,922623608.0,922623670,-16.31822104,28.41677905,2017-02-15T11:40:07.893000,2017-06-28T12:03:36.848000
hogar muebles electrodomesticos decoracion,ACADESA Trinidad,AV,Avenida,Trinidad,7,38204,38023,La Laguna,,,,922258495.0,,-16.315865,28.48694599,2016-05-09T12:45:15.374000,2021-06-08T14:23:41.167000
hogar muebles electrodomesticos decoracion,ACADESA Trinidad,AV,Avenida,Trinidad,25,38204,38023,La Laguna,,acadesatrinidadelectrodomesticos.com,,922256246.0,,-16.316323,28.4858249,2016-05-09T12:45:15.374000,2021-06-08T14:23:41.167000
articulos deportivos,Acosta Cycles,CL,Calle,El Sol,17,38450,38015,Garachico,,www.acostacycles.com,clientes@acostacycles.com,922133065.0,,-16.76436188,28.37174686,2016-05-09T12:45:15.374000,2015-11-19T12:56:14.243000
hogar textil,Activewear Valerio,CM,Camino,Los Pescadores,15,38108,38023,La Laguna,Z I Las Torres De Taco Nave 2,www.valeriowear.com,gerencia@valeriowear.com,922626454.0,922626459,-16.29653552,28.45317069,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
mascotas,Acuario,CL,Calle,Barranco Martiño,2,38358,38043,Tacoronte,,,,,,-16.42712017,28.48344517,2016-05-09T12:45:15.374000,2018-11-30T11:53:59.169000
mascotas,Acuario Fauna Tropical,CL,Calle,Jose Rodriguez Amador,12,38260,38023,La Laguna,TejinaTejina El Ramal,www.acuariofaunatropical.es,segundore@hotmail.com,922540005.0,,-16.3612705,28.53418252,2016-05-09T12:45:15.374000,2016-06-23T13:43:46.112000
mascotas,Acuario Pajareria Javi,Av,Avenida,Los Remedios,25,38410,38031,Los Realejos,Realejo Alto,acuariopajareriajavi.com,info@acuariopajareriajavi.com,922343397.0,,-16.58355417,28.38043921,2016-05-09T12:45:15.374000,2023-10-18T14:04:54.665000
mascotas,Acuario Reino Animal,CL,Calle,Pepita Serrador,6,38005,38038,Santa Cruz de Tenerife,,,,922202083.0,,-16.259638,28.46093599,2016-05-09T12:45:15.374000,2015-08-04T10:26:16.678000
mascotas,Acuario Vida y Color,AV,Avenida,Juan Carlos I,23,38650,38006,Arona,Los Cristianos Ed Cristianos I Lc 19,,info@acuariovidaycolor.com,922792210.0,922791655,-16.71271176,28.05189741,2016-05-09T12:45:15.374000,2017-11-15T12:00:17.028000
mascotas,Acuarium Mate,CL,Calle,Via de Servicio Darsena Pesquera,0,38120,38038,Santa Cruz de Tenerife,Z I Darsena Norte Puerto,www.acuariummates.com,administracion@acuariummates.com,922591456.0,922591373,-16.20388157,28.4994991,2017-02-15T11:40:07.893000,2019-02-08T08:00:28.661000
bazar multitienda estanco,Achaman Regalos,CL,Calle,El Campo,10,38680,38019,Guía de Isora,Lc 1,,achamanregalos@gmail.com,922850909.0,,-16.78015927,28.21215752,2016-05-09T12:45:15.374000,2019-03-22T10:14:18.455000
zapateria calzado,AD Calzados y Modas Dania,AV,Avenida,Isora,22,36680,38019,Guía de Isora,Guia de Isora,,adcalzados@gmail.com,922852209.0,,-16.77977283,28.20861521,2016-05-09T12:45:15.374000,2019-04-12T11:56:11.551000
bazar multitienda estanco,Ad Yi Jin Internacional,AV,Avenida,Democracia,3,38611,38017,Granadilla de Abona,San Isidro,,,922391835.0,,-16.554374,28.07155399,2016-05-09T12:45:15.374000,2016-05-19T12:46:59.429000
zapateria calzado,Adagio Calzado y Complementos,CR,Carretera,España TF 217,1,38390,38039,Santa Úrsula,Ed Plaza Lc 5,,adagiotenerife@gmail.com,922303283.0,0,-16.49141765,28.42553428,2016-05-09T12:45:15,2018-01-31T14:15:50.928000
compraventa productos segunda mano,Addanca Charity Shop,AV,Avenida,Maritima,2,38509,38011,Candelaria,Ed Caracas Lc 2,,cgonzalezdifferent@gmail.com,922517282.0,0,-16.36866226,28.35825314,2016-05-09T12:45:15.374000,2016-03-03T13:00:20.711000
joyeria relojeria,Adeley Joyeria,CL,Calle,Obispo Rey Redondo,49,38201,38023,La Laguna,Edif Casino Esquina,joyeriasadeley.com,,686449699.0,,-16.31782609,28.4892335,2021-06-08T10:09:02.163000,2021-06-08T10:09:02.163000
moda complementos,Adelina Modas,CR,Carretera,General TF 28 Sur,18,38593,38005,Arico,Rio de Arico,,,,,-16.52297934,28.1432593,2016-05-09T12:45:15.374000,2015-08-04T11:53:28.205000
moda complementos,Adenur Modas,CL,Calle,Padre Jesus Mendoza,10,38509,38011,Candelaria,,,,922506615.0,,-16.3707399,28.35584144,2016-05-09T12:45:15.374000,2017-10-23T11:39:07.341000
articulos deportivos,Adidas Store Tenerife,CL,Calle,Perez Galdos,25,38002,38038,Santa Cruz de Tenerife,,,,922243973.0,,-16.25265742,28.46802708,2016-05-09T12:45:15.374000,2022-04-22T13:23:10.741000
moda complementos,Adolfo Dominguez,AV,Avenida,Tres de Mayo,7,38003,38038,Santa Cruz de Tenerife,CC Tres de Mayo Lc A17 - 18,www.adolfodominguez.com,,922535491.0,,-16.256361,28.45862799,2016-05-09T12:45:15.374000,2016-02-15T10:00:31.611000
comercio otro tipo,Adrian Coello,CL,Calle,Darias y Padron,1,38003,38038,Santa Cruz de Tenerife,CC Nuestra Señora de Africa Lc 22a,,,651841339.0,,-16.25183375,28.46231164,2016-05-09T12:45:15,2018-01-31T12:41:51.634000
informatica telecomunicaciones,Adrian Computer,CL,Calle,Las Retamas,3,38320,38023,La Laguna,,,adriancomputerbox@gmail.com,822170080.0,,-16.29192099,28.46955376,2021-06-08T10:09:02.163000,2021-06-08T10:09:02.163000
moda complementos,Adriana,RB,Rambla,Pulido,5,38004,38038,Santa Cruz de Tenerife,,,palaciohindu@hotmail.com,,,-16.256813,28.46734099,2016-05-09T12:45:15.374000,2015-08-05T07:57:56.127000
comercio otro tipo,Adriana Alfaro,CL,Calle,Darias y Padron,1,38003,38038,Santa Cruz de Tenerife,CC Nuestra Señora de Africa Lc 54f,,,617127812.0,,-16.25200957,28.46213255,2016-05-09T12:45:15,2018-01-31T11:52:33
articulos deportivos,Adrisport Deportes,CR,Carretera,General TF 16 Tacoronte Tejina,120,38356,38043,Tacoronte,Ed Los Perales Lc 5,www.facebook.com/pages/Adrisport,,922564736.0,,-16.40867274,28.49330248,2016-05-09T12:45:15.374000,2015-08-04T13:43:48.370000
bisuteria complementos,Afon Canarias,CL,Calle,Viana,27,38201,38023,La Laguna,,Afoncanarias.com,,922631816.0,,-16.31456773,28.48878347,2021-06-08T10:09:02.163000,2023-03-10T14:34:47.479000
concesionario exposicion automocion,Afonso Automocion Mazda,CL,Calle,Subida Al Mayorazco,33,38110,38038,Santa Cruz de Tenerife,P I El Mayorazgo,www.rafaelafonso.com,cliente@gruporafaelafonso.com,922201644.0,,-16.28611577,28.44597715,2017-02-15T11:40:07.893000,2023-04-26T09:03:35.566000
concesionario exposicion automocion,Afonso Automocion Mazda,CL,Calle,Subida Al Mayorazco,33,38110,38038,Santa Cruz de Tenerife,P I El Mayorazgo,www.rafaelafonso.com,cliente@gruporafaelafonso.com,922201644.0,,-16.2862463,28.44628597,2017-02-15T11:40:07.893000,2023-04-26T09:03:35.566000
concesionario exposicion automocion,Afonso Automocion Mazda,CL,Calle,Subida Al Mayorazco,33,38110,38038,Santa Cruz de Tenerife,P I El Mayorazgo,www.rafaelafonso.com,cliente@gruporafaelafonso.com,922201644.0,,-16.28630672,28.44622221,2017-02-15T11:40:07.893000,2023-04-26T09:03:35.566000
concesionario exposicion automocion,Afonso Automocion Mazda (Aparcamiento),CL,Calle,Subida Al Mayorazco,33,38110,38038,Santa Cruz de Tenerife,P I El Mayorazgo,,,0.0,,-16.28617807,28.44592514,2017-02-15T11:40:07.893000,2023-04-26T09:03:35.566000
mascotas,Ag y Asociados Impocan,CL,Calle,Laura Grote De La Puerta,34,38110,38038,Santa Cruz de Tenerife,P I El Mayorazgo,www.impocan.com,tfe@impocan.com,922210900.0,922210921,-16.28377205,28.4422134,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
mascotas,Ag y Asociados Impocan,CL,Calle,Laura Grote De La Puerta,0,38110,38038,Santa Cruz de Tenerife,P I El Mayorazgo,www.impocan.com,tfe@impocan.com,922210900.0,922210921,-16.28363455,28.44232187,2017-02-15T11:40:07.893000,2017-03-10T09:05:18.142000
concesionario exposicion automocion,Agencia Auto,CR,Carretera,General TF 652 Las Galletas,4,38632,38035,San Miguel,Guargacho Rs San Miguel,,,922784077.0,0,-16.63169866,28.03858474,2016-05-09T12:45:15.374000,2023-04-26T09:03:35.566000
artesania y productos tradicionales,Agostina Santini,CL,Calle,Real,90,38459,38015,Garachico,Genoves,www.agostinasantini.es,info@agostinasantini.es,676289389.0,,-16.74627844,28.36513079,2017-06-28T11:48:54.115000,2017-06-28T11:48:54.115000
comercio otro tipo,Agrarias Aarón,CR,Carretera,Gral Chío,S/N,38689,38019,Guía de Isora,,,aaronleonramos@hotmail.com,680347453.0,,-16.78802525,28.22423082,2019-04-12T16:38:45.443000,2019-04-12T16:38:45.443000
ferreteria,Agri-Lev,CL,Calle,Calvario,34,38270,38023,La Laguna,Valle de Guerra,,,922542188.0,922158245,-16.38972532,28.51935217,2016-05-09T12:45:15.374000,2015-08-26T11:03:05.062000
industria editorial periodicos,Agro Flor Tenerife,Cl,Calle,Mencey Añaterve,21,38413,38031,Los Realejos,Bajo,,,922278163.0,,-16.57126781,28.37848049,2023-10-18T12:08:17.876000,2023-10-18T12:08:17.876000
ferreteria,Agroriego,CR,Carretera,General TF 16 Tacoronte Tejina,85,38270,38023,La Laguna,Valle de Guerra,,,,,-16.38289302,28.52122375,2016-05-09T12:45:15.374000,2015-08-05T08:31:39.788000
ferreteria,Agroyferret Acentejo,CL,Calle,Vista Alegre,54,38380,38051,La Victoria,Esq Cl Pino,,,922580324.0,,-16.46998,28.43303999,2016-05-09T12:45:15.374000,2015-08-04T13:35:09.001000
comercio otro tipo,Aguamania,CL,Calle,Jorge Manrique,5,38005,38038,Santa Cruz de Tenerife,Ed Rocinante,www.aguamia.es,contacto@aguamia.es,922223622.0,922211585,-16.260258,28.46092999,2016-05-09T12:45:15.374000,2017-05-18T11:06:44.393000
moda complementos,Aguamarina,AV,Avenida,La Constitucion,35,38509,38011,Candelaria,Ed Elcano Lc 4,,,922583027.0,0,-16.36925514,28.35766832,2016-05-09T12:45:15.374000,2016-05-05T14:12:06.297000
moda complementos,Aguamarina,AV,Avenida,Principes de España,7,38010,38038,Santa Cruz de Tenerife,Ofra CC Yumbo local 12,,,922645620.0,,-16.28397283,28.45521137,2016-05-09T12:45:15.374000,2018-01-15T10:19:59.087000
moda complementos,Aguja & Company,CL,Calle,El Carmen,4,38280,38046,Tegueste,,,,,,-16.33799919,28.5223639,2016-05-09T12:45:15.374000,2016-05-24T08:48:10.894000
tabaqueria licoreria,Agustin Autoservicio,CL,Calle,El Natero,58,38413,38031,Los Realejos,La Grimona,,,922341580.0,,-16.56394037,28.38052796,2016-05-26T08:52:24.655000,2016-05-26T08:52:24.655000
moda complementos,Ainhec,AV,Avenida,Las Palmeras,15,38205,38023,La Laguna,,,pilarmelianherrera@outlook.com,686672304.0,,-16.29962731,28.47303847,2021-06-08T10:09:02.163000,2021-06-08T10:09:02.163000
articulos deportivos,AJ Project Skate Board Shop,CL,Calle,Robayna,3,38003,38038,Santa Cruz de Tenerife,,premiumsneakershop.com,customerservice@premiumsneakershop.com,922574152.0,,-16.25461193,28.46786219,2016-05-09T12:45:15.374000,2022-04-22T13:23:10.741000
articulos deportivos,AJ Project Skate Board Shop,CL,Calle,Herradores,2,38204,38023,La Laguna,,,,922260307.0,,-16.314495,28.48582699,2016-05-09T12:45:15,2021-06-08T14:23:41.167000
zapateria calzado,Ajabo,AV,Avenida,Los Pescadores,61,38686,38019,Guía de Isora,Alcala,,,922865387.0,,-16.82917805,28.20336895,2016-05-09T12:45:15.374000,2019-04-12T11:56:11.551000
hogar textil,Ajuar,CL,Calle,Fernandez Navarro,31,38003,38038,Santa Cruz de Tenerife,,,auche@elajuardeauche.com,922273624.0,,-16.25401854,28.46111672,2016-05-09T12:45:15.374000,2016-02-18T10:32:45.109000
articulos deportivos,Akamar El Rincon del Pescador,CR,Carretera,General TF 28 Sur,8,38108,38038,Santa Cruz de Tenerife,Taco,www.akamarpesca.com,akamar@akamarpesca.com,822021203.0,,-16.300759,28.44437399,2016-05-09T12:45:15,2017-03-15T08:55:35.577000
zapateria calzado,Akaso shoes & complements,PZ,"Plaza, plazoleta",Del Charco,2,38400,38028,Puerto de la Cruz,Ed Luna Lc 3-4,,acaso.puerto@gmail.com,922336576.0,,-16.55045673,28.41691813,2022-04-22T12:09:52.592000,2022-04-22T12:09:52.592000
moda complementos,Al Paradise,CL,Calle,La Hoya,50,38400,38028,Puerto de la Cruz,,alparadise.com,,922374783.0,,-16.5454686,28.4167859,2022-04-22T12:09:52.592000,2022-04-22T12:09:52.592000
moda complementos,Al Paradise,CL,Calle,Santo Domingo,22,38400,38028,Puerto de la Cruz,Lc 26,alparadise.com,,922381710.0,,-16.54787018,28.41705153,2022-04-22T12:09:52.592000,2022-04-22T12:09:52.592000
moda complementos taller,Al Sesgo Costura,CL,Calle,Salamanca,36,38006,38038,Santa Cruz de Tenerife,,,,660895973.0,,-16.26329536,28.46945546,2016-05-09T12:45:15.374000,2016-02-18T10:32:45.109000
comercio otro tipo,Al y Pa,CL,Calle,Cuescaro,25,38639,38035,San Miguel,Z I Las Andoriñas,www.alypasl.com,ventasalypa@gmail.com,922707594.0,,-16.60913358,28.05408347,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
hogar muebles electrodomesticos decoracion,Aladdins Cave Antiguedades,CR,Carretera,General TF 66 Cruz del Guanche Guaza,147,38626,38006,Arona,Buzanada,www.removals-tenerife.com,info@removals-tenerife.com,922720711.0,922720493,-16.66214848,28.07951479,2016-05-09T12:45:15.374000,2015-08-04T12:31:10.347000
optica ortopedia audicion,Alain Afflelou Opticos,AV,Avenida,Manuel Hermoso Rojas,16,38003,38038,Santa Cruz de Tenerife,CC Meridiano Pt 0 N 04,www.alainafflelou.com,,922205918.0,922203078,-16.258512,28.45634699,2016-05-09T12:45:15.374000,2016-02-19T10:03:00.238000
optica ortopedia audicion,Alain Afflelou Opticos,CL,Calle,Bentagay,1,38111,38038,Santa Cruz de Tenerife,CC Santa Cruz Pt 1 Lc 04,,,922688415.0,,-16.30135423,28.42651345,2016-05-09T12:45:15.374000,2016-05-24T15:08:43.893000
comercio otro tipo,Alameda,CL,Calle,Poblado Marinero,2,38683,38040,Santiago del Teide,Los Gigantes Poblado Marinero Lc 10,,,0.0,,-16.84229413,28.2463907,2016-05-09T12:45:15.374000,2016-09-30T10:20:36.683000
moda complementos infantil,Alas De Mariposa,CL,Calle,Cortes,5,38109,38032,El Rosario,Radazul Alto,www.lacanastilladetubebe.es,info@lacanastilladetubebe.es,822175092.0,,-16.32630556,28.40738963,2017-10-26T09:13:53.586000,2017-10-26T09:13:53.586000
ferreteria,Albatros Tenerife,CL,Calle,Jose Maldonado Dugour,3,38009,38038,Santa Cruz de Tenerife,Z I Chamberi Nave 3,,,922290447.0,922296076,-16.27526462,28.44953679,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
compraventa oro,Albeniz Compra Venta Oro,CL,Calle,Albeniz,19,38007,38038,Santa Cruz de Tenerife,Barrio Cruz del Señor,,,659534672.0,,-16.271664,28.46321499,2016-05-09T12:45:15.374000,2015-08-04T10:37:38.763000
articulos deportivos,Alboran,CL,Calle,Franco Cupone,8,38109,38032,El Rosario,Puerto Deportivo Radazul Bajo,,,,,-16.321404,28.40119699,2016-05-09T12:45:15.374000,2015-08-04T10:47:48.724000
hogar muebles electrodomesticos decoracion,Aldar Deco,CL,Calle,Santa Clara,11,38002,38038,Santa Cruz de Tenerife,,,aldardeco@hotmail.com,922282652.0,0,-16.25040188,28.4703144,2016-05-09T12:45:15.374000,2016-06-28T07:48:18.332000
zapateria calzado,Aldo,CL,Calle,Castillo,28,38002,38038,Santa Cruz de Tenerife,,,,922925882.0,,-16.25074592,28.46707287,2022-04-22T12:09:52.592000,2022-04-22T12:09:52.592000
moda complementos taller,Aldobrandesca,CL,Calle,Iriarte,27,38400,38028,Puerto de la Cruz,,,,603786670.0,,-16.54761017,28.41594699,2022-04-22T12:09:52.592000,2022-04-22T12:09:52.592000
estudio fotografia,Aldoman,AV,Avenida,Mencey de Abona,14,38600,38017,Granadilla de Abona,,,fotoaldoman@gmail.com,922772018.0,,-16.57820052,28.11843495,2016-05-09T12:45:15.374000,2018-03-06T12:39:01.965000
bisuteria complementos,Ale-Hop,CL,Calle,Del Castillo,12,38002,38038,Santa Cruz de Tenerife,Ed Hotel Atlantico,club.ale-hop.org,,922240677.0,,-16.24991555,28.46701175,2022-04-22T12:09:52.592000,2022-04-22T12:09:52.592000
comercio otro tipo,Ale-Hop,CL,Calle,San Telmo,30,38400,38028,Puerto de la Cruz,,,,922367080.0,,-16.5457036,28.41731921,2022-04-22T12:09:52.592000,2022-04-22T12:09:52.592000
comercio otro tipo,Ale-Hop,CL,Calle,La Marina,2,38400,38028,Puerto de la Cruz,,club.ale-hop.org,,922385959.0,,-16.55085566,28.41757995,2022-04-22T12:09:52.592000,2022-04-22T12:09:52.592000
bisuteria complementos,Ale Hop,CL,Calle,Obispo Rey Redondo,53,38201,38023,La Laguna,,www.alehop.org,,922825836.0,,-16.318076,28.48938199,2016-05-09T12:45:15.374000,2016-06-28T07:58:46.550000
bisuteria complementos,Ale Hop,AV,Avenida,Colon,5,38660,38001,Adeje,San Eugenio CC Aguamarina,www.alehop.org,,922717570.0,,-16.73479983,28.07827351,2016-06-28T08:02:02.529000,2016-10-06T09:57:56.034000
bisuteria complementos,Ale Hop,CL,Calle,Obispo Perez Caceres,46,38509,38011,Candelaria,,www.alehop.org,,922517499.0,,-16.37010801,28.35415713,2016-05-09T12:45:15.374000,2016-06-28T07:58:46.550000
bisuteria complementos,Ale Hop,AV,Avenida,Rafael Puig Lluvina,40,38650,38006,Arona,Py Americas Pq Santiago IV,www.alehop.org,,922798112.0,,-16.73482152,28.05539724,2016-06-28T08:40:43.642000,2016-08-01T13:03:53.114000
bisuteria complementos,Ale Hop,AV,Avenida,Los Playeros,42,38650,38006,Arona,Los Cristianos,www.alehop.org,,922777752.0,,-16.71821996,28.0514714,2016-06-28T08:00:08.345000,2016-06-28T08:00:08.345000
moda complementos,Alecris Moda Infantil,CR,Carretera,General TF 657 Cabo Blanco,113,38627,38006,Arona,Cabo Blanco,,,636219149.0,0,-16.67209725,28.07387794,2016-05-09T12:45:15.374000,2015-08-04T12:32:00.097000
articulos deportivos,Aleger Deportes,CL,Calle,San Eulogio,21,38108,38023,La Laguna,Taco,,,922311130.0,,-16.30232216,28.45486249,2019-02-04T10:56:37.080000,2019-02-04T10:56:37.080000
moda complementos,Alejandra Merceria Costura,CL,Calle,La Arena,4,38618,38017,Granadilla de Abona,Los Abrigos,,,,,-16.594419,28.02966779,2016-05-09T12:45:15,2016-09-05T10:44:20.625000
moda complementos,Alejandro Garcia Store,CL,Calle,Sabino Berthelot,13,38003,38038,Santa Cruz de Tenerife,,www.alejandrogarciastore.com,info@alejandrogarciastore.com,822612722.0,,-16.25454225,28.46831816,2022-04-22T12:09:52.592000,2022-04-22T12:09:52.592000
moda complementos,Alessandra Modas,CL,Calle,La Hoya,48,38400,38028,Puerto de la Cruz,,,,922385919.0,,-16.545559,28.41684499,2016-05-09T12:45:15.374000,2022-04-22T13:23:10.741000
bazar electronica,Alex Ye,CL,Calle,Doctor Allart,45,38003,38038,Santa Cruz de Tenerife,,,,822703036.0,,-16.25054771,28.46644798,2022-04-22T12:09:52.592000,2022-04-22T12:09:52.592000
informatica telecomunicaciones,Alex.es Informatica y Comunicacion,CR,Carretera,General TF 217 Norte,92,38380,38051,La Victoria,,,,922581588.0,,-16.471786,28.43495999,2016-05-09T12:45:15.374000,2015-08-04T13:35:09.001000
articulos deportivos,Alextreme,AV,Avenida,Valle San Lorenzo,29,38626,38006,Arona,Valle San Lorenzo,,,0.0,0,-16.65636011,28.08906222,2016-05-09T12:45:15.374000,2015-11-20T14:01:55.134000
artesania y productos tradicionales,Alfarero,CR,Carretera,Vecinal TF 172 El Sauzal,104,38360,38041,El Sauzal,,,,922561176.0,,-16.43491111,28.47466388,2016-05-09T12:45:15.374000,2016-06-07T14:41:40.270000
hogar muebles electrodomesticos decoracion,Alfombras de Cas,AV,Avenida,Claudio Delgado Diaz,51,38639,38035,San Miguel,P I Las Chafiras,www.acmuebles.com,info@acmuebles.com,922735116.0,,-16.61979636,28.05005551,2017-02-15T11:40:07,2017-09-22T10:28:42.878000
hogar muebles electrodomesticos decoracion,Alfombras de Cas,CR,Carretera,Provincial TF 217,183,38390,38039,Santa Úrsula,,www.acmuebles.com,info@acmuebles.com,922301197.0,,-16.50348333,28.41704539,2016-05-09T12:45:15,2018-01-26T11:40:50
comercio otro tipo,Algo Asi,CL,Calle,Castillo,77,38003,38038,Santa Cruz de Tenerife,Ed Atos Castillo,www.algoasi.com,,,,-16.25516565,28.46758997,2022-04-22T12:09:52.592000,2022-04-22T12:09:52.592000
