actividad_tipo,nombre,tipo_via_codigo,tipo_via_descripcion,direccion_nombre_via,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,referencia,web,email,telefono,fax,longitud,latitud,fecha_creacion,fecha_actualizacion
vivienda vacacional,2726 VV,PS,Paseo,Fermin Rodriguez,2,38400.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 27 Vd 26,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55793175,28.41097461,2016-05-09T12:45:15,2018-06-08T10:23:24
vivienda vacacional,3 Aperos VV,CL,Calle,Alcalde Juan Martin,2,38480.0,38010,Buenavista del Norte,Bajada Campo Futbol,,mesaelena@gmail.com,922129006.0,,-16.84503446,28.36952678,2017-09-21T12:45:56.519000,2018-02-08T12:36:45.855000
vivienda vacacional,3011 VV,PS,Paseo,Fermin Rodriguez,2,38411.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 30 Vd 11,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.5581244,28.4110951,2016-05-09T12:45:15,2018-06-08T11:07:10.152000
vivienda vacacional,3014 VV,PS,Paseo,Fermin Rodriguez,2,38411.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 30 Vd 14,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55818786,28.41125279,2016-05-09T12:45:15,2018-06-08T11:07:10
vivienda vacacional,3019D VV,PS,Paseo,Fermin Rodriguez,2,38411.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 30 Vd 19D,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55816406,28.41119697,2016-05-09T12:45:15,2018-06-08T11:07:10
vivienda vacacional,314 VV,CL,Calle,Zeus,6,38630.0,38006,Arona,Costa del Silencio Rs Rocas de Mar Pl 2 PTA 314,,,629574410.0,,-16.64580903,28.00457227,2019-09-24T12:59:27.902000,2019-09-24T12:59:27.902000
vivienda vacacional,3301 VV,PS,Paseo,Fermin Rodriguez,2,38411.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 33 Vd 01,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55823387,28.41137,2016-05-09T12:45:15,2018-06-08T11:07:10
vivienda vacacional,3303 VV,PS,Paseo,Fermin Rodriguez,2,38411.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 33 Vd 03,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55827512,28.41147047,2016-05-09T12:45:15,2018-06-08T11:07:10
vivienda vacacional,3309 VV,PS,Paseo,Fermin Rodriguez,2,38411.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 33 Vd 09,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55820848,28.41131419,2016-05-09T12:45:15,2018-06-08T11:07:10
vivienda vacacional,3314D VV,PS,Paseo,Fermin Rodriguez,2,38411.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 33 Vd 14D,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55825608,28.41142024,2016-05-09T12:45:15,2018-06-08T11:07:10
vivienda vacacional,3602 VV,PS,Paseo,Fermin Rodriguez,2,38411.0,38028,Puerto de la Cruz,Ed Bahia del Valle Pl 36 Vd 02,,grupoemeteriogarcia@gmail.com,922374408.0,,-16.55829098,28.41152211,2016-05-09T12:45:15,2018-06-08T11:07:10
vivienda vacacional,4 Taller VV,CL,Calle,Alcalde Juan Martin,2,38480.0,38010,Buenavista del Norte,Bajada Campo Futbol,,mesaelena@gmail.com,922129006.0,,-16.84519669,28.36960772,2017-09-21T12:45:56.519000,2018-02-08T12:36:45.855000
alojamiento hotelero,4Dreams Hotel Chimisay,CL,Calle,Agustin de Bethencourt,14,38400.0,38028,Puerto de la Cruz,,4dreamshotel.com,4dreamshotel@gmail.com,922383552.0,,-16.549406,28.41642899,2016-05-09T12:45:15.374000,2022-04-22T13:23:10.741000
vivienda vacacional,5 Gañania VV,CL,Calle,Alcalde Juan Martin,2,38480.0,38010,Buenavista del Norte,Bajada Campo Futbol,,mesaelena@gmail.com,922129006.0,,-16.8450077,28.36958859,2017-09-21T12:45:56.519000,2018-02-08T12:36:45.855000
vivienda vacacional,6 Destiladera VV,CL,Calle,Alcalde Juan Martin,2,38480.0,38010,Buenavista del Norte,Bajada Campo Futbol,,mesaelena@gmail.com,922129006.0,,-16.84519669,28.36966658,2017-09-21T12:45:56.519000,2018-02-08T12:36:45.855000
vivienda vacacional,606888922 VV,CL,Calle,Maria Merida Perez,6,38001.0,38038,Santa Cruz de Tenerife,Pl 4 Vd Iz,,,686443609.0,,-16.250076,28.47279601,2017-06-27T12:20:37,2017-06-27T12:20:37
agencia de viajes,7 Island Experience,AV,Avenida,Los Vientos,41,38670.0,38001,Adeje,Parque Galeon Ed Franzac Lc 03D,,,,,-16.73264848,28.11718444,2017-03-29T09:19:10,2018-11-22T10:43:44
vivienda vacacional,70'S Cafe,CL,Calle,Martin Rodriguez,18 A,38588.0,38005,Arico,,,,,,-16.43223496,28.16447824,2019-09-24T12:16:51.216000,2019-09-24T12:16:51.216000
vivienda vacacional,A-25 Primavera VV,CL,Calle,Quezal,38,38632.0,38006,Arona,El Palmar Rs Primavera Bq A Vd 25,,,616655838.0,,-16.69489907,28.02500963,2019-09-26T10:04:38.350000,2019-09-26T10:04:38.350000
vivienda vacacional,A-26 Primavera VV,CL,Calle,Quezal,38,38632.0,38006,Arona,El Palmar Rs Primavera Bq A Vd 26,,,616655838.0,,-16.69485797,28.02501898,2019-09-26T10:14:30.342000,2019-09-26T10:14:30.342000
vivienda vacacional,A-27 Primavera VV,CL,Calle,Quezal,38,38632.0,38006,Arona,El Palmar Rs Primavera Bq A Vd 27,,,616655838.0,,-16.69481779,28.02503205,2019-09-26T10:18:28.042000,2019-09-26T10:18:28.042000
vivienda vacacional,A-28 Primavera VV,CL,Calle,Quezal,38,38632.0,38006,Arona,El Palmar Rs Primavera Bq A Vd 28,,,616655838.0,,-16.69476361,28.02504887,2019-09-26T10:18:28.042000,2019-09-26T10:18:28.042000
vivienda vacacional,A-29 Primavera VV,CL,Calle,Quezal,38,38632.0,38006,Arona,El Palmar Rs Primavera Bq A Vd 29,,,616655838.0,,-16.69472624,28.02505821,2019-09-26T10:18:28.042000,2019-09-26T10:18:28.042000
vivienda vacacional,A-30 Primavera VV,CL,Calle,Quezal,38,38632.0,38006,Arona,El Palmar Rs Primavera Bq A Vd 30,,,616655838.0,,-16.69466645,28.02507596,2019-09-26T10:18:28.042000,2019-09-26T10:18:28.042000
vivienda vacacional,A-31 Primavera VV,CL,Calle,Quezal,38,38632.0,38006,Arona,El Palmar Rs Primavera Bq A Vd 31,,,616655838.0,,-16.69462909,28.02508717,2019-09-26T10:18:28.042000,2019-09-26T10:18:28.042000
vivienda vacacional,A-32 Primavera VV,CL,Calle,Quezal,38,38632.0,38006,Arona,El Palmar Rs Primavera Bq A Vd 32,,,616655838.0,,-16.69460293,28.02509838,2019-09-26T10:19:07.073000,2019-09-26T10:19:07.073000
informador turistico,A Caminar IT,CL,Calle,Las Palomas,11,38617.0,38017,Granadilla de Abona,El Sato,www.wanderjule.com,wandern@wanderjule.com,600562623.0,,-16.559297,28.1120634,2016-10-20T13:16:24,2016-11-02T13:06:47.106000
vivienda vacacional,Abades Beach House VV,CL,Calle,Abona,3,38588.0,38005,Arico,Abades Ur Canteras del Sol V 48,,,669848576.0,922229573.0,-16.44534637,28.14490265,2016-07-05T10:31:59.259000,2018-02-08T12:36:45.855000
vivienda vacacional,Abades Sun House VV,CL,Calle,Abona,6,38588.0,38005,Arico,Abades Ur Canteras del Sol,,,922353013.0,,-16.44554117,28.14485176,2016-05-09T12:45:15.374000,2018-02-08T12:36:45.855000
alojamiento hotelero,Abamagolf & Resort,CR,Carretera,General TF 6237 Playa San Juan,0,38687.0,38019,Guía de Isora,Abama Los Maguenes,www.abamahotelresort.com,,922746000.0,,-16.800662,28.17121299,2016-05-09T12:45:15.374000,2016-11-09T09:37:12.779000
vivienda vacacional,Abel VV,CL,Calle,La Paz,1,38588.0,38005,Arico,Poris de Abona Rs Cary II Vd 39,,,687453901.0,922161217.0,-16.43286496,28.1659038,2017-09-21T10:29:58.347000,2019-02-25T11:56:08.883000
alojamiento hotelero,Abinque Isla Bonita,AV,Avenida,Bruselas,6,38660.0,38001,Adeje,Fañabe,www.adonisresorts.com,,,,-16.734069,28.08938999,2016-05-09T12:45:15.374000,2016-04-26T12:25:29.679000
informador turistico,Abona Rent A Car SC IT,AV,Avenida,Jose Miguel Galvan Bello,175,38639.0,38035,San Miguel,Golf del Sur Cj Green Park Ed El Cid Lc 05,,,,,-16.61124034,28.02913935,2017-08-08T09:45:31.619000,2017-08-08T09:45:31.619000
agencia de viajes,Abora Travel,CL,Calle,Tano,21,38111.0,38038,Santa Cruz de Tenerife,Los Alisios,,,,,-16.30626096,28.42690191,2016-10-26T11:17:30.128000,2016-10-26T12:48:35.589000
vivienda vacacional,Abosa VV,AV,Avenida,Cristobal Colon,14,38508.0,38020,Güimar,Puertito de Guimar Ed Robaina Pl 1 Vd A,,,679901003.0,,-16.37421163,28.29595535,2017-08-22T09:37:44,2017-08-22T09:37:44
vivienda vacacional,Acacia VV,CM,Camino,Vueltas Blancas,3,38293.0,38023,La Laguna,Las Mercedes Vd 5E,,,607193332.0,,-16.29610672,28.51942115,2017-04-03T14:34:36.689000,2018-02-08T12:36:45.855000
vivienda vacacional,Acapulco VV,CM,Camino,El Burgado,3,38417.0,38031,Los Realejos,El Toscal Pl 2 Vd 203,,,616124431.0,,-16.57114734,28.4057509,2019-01-28T12:05:51.231000,2019-01-28T12:05:51.231000
vivienda vacacional,Aceviño 24 VV,CL,Calle,Aceviño,24,38360.0,38041,El Sauzal,,,,610568508.0,,-16.43476663,28.46821455,2017-09-26T12:44:30,2018-02-08T12:17:45
vivienda vacacional,Acogedor y Tranquilo VV,CM,Camino,La Cuesta,10,38355.0,38043,Tacoronte,,,pedro.ivi180@gmail.com,628032022.0,,-16.40214907,28.47826839,2017-02-08T10:46:30.669000,2018-02-08T12:36:45.855000
alojamiento extrahotelero,Acoroma CR,CL,Calle,Lomo Acoroma,26,38520.0,38011,Candelaria,,,,,,-16.378261,28.38407999,2016-05-09T12:45:15.374000,2016-04-26T13:55:32.672000
informador turistico,Acquis Call Center IT,CL,Calle,Sol del Sur,12,38631.0,38006,Arona,Las Galletas,,,922783637.0,922783637.0,-16.65447367,28.00812858,2016-05-09T12:45:15.374000,2017-04-06T13:26:07.738000
alojamiento hotelero,Acuario,AV,Avenida,Parque de Las Flores,36,38400.0,38028,Puerto de la Cruz,Ur Parque de Las Flores,www.hotelesglobales.com,dir.acuario@hotelesglogales.com,922374142.0,,-16.551888,28.40435099,2016-05-09T12:45:15,2017-11-20T09:33:50.045000
alojamiento extrahotelero,Achacay,AV,Avenida,Juan Carlos I,24,38650.0,38006,Arona,Los Cristianos Ed Achacay,,,0.0,0.0,-16.714023,28.05197499,2016-05-09T12:45:15.374000,2016-09-08T10:49:25.405000
alojamiento extrahotelero,Achacay CR,CL,Calle,La Vera,18,38579.0,38012,Fasnia,,,,,,-16.455359,28.23888099,2016-05-09T12:45:15.374000,2016-04-26T14:05:28.993000
vivienda vacacional,Achaman VV,CL,Calle,Fundadores Cooperativa,30,38639.0,38035,San Miguel,Las Andoriñas Pl 1 Vd C,,,689735934.0,,-16.61156879,28.0529923,2016-05-09T12:45:15,2016-04-27T09:43:29
vivienda vacacional,Adeje Paradise 143 VV,AV,Avenida,Adeje 300,30,38678.0,38001,Adeje,Py Paraiso Rs Adeje Paradise Vd 143,,,609111116.0,,-16.77052145,28.12073249,2016-05-09T15:04:06,2016-05-09T15:04:06
vivienda vacacional,Adeje Paradise 17 VV,AV,Avenida,Adeje 300,30,38678.0,38001,Adeje,Py Paraiso Rs Adeje Paradise Vd 17,,,609111116.0,,-16.77040778,28.12082272,2016-05-09T15:04:06,2016-05-09T15:04:06
vivienda vacacional,Adeje Paradise 64 VV,AV,Avenida,Adeje 300,30,38678.0,38001,Adeje,Py Paraiso Rs Adeje Paradise Vd 64,,,670579847.0,,-16.77007812,28.12110344,2016-05-09T15:04:06,2016-05-09T15:04:06
vivienda vacacional,Adeje Paradise 66 VV,AV,Avenida,Adeje 300,30,38678.0,38001,Adeje,Py Paraiso Rs Adeje Paradise Vd 66,,dferro@infinityfo.com,619400854.0,,-16.77115425,28.12061887,2016-05-09T15:04:06,2016-05-09T15:04:06
vivienda vacacional,Adeje Paradise 67 VV,AV,Avenida,Adeje 300,30,38678.0,38001,Adeje,Py Paraiso Rs Adeje Paradise Vd 67,,,619400854.0,,-16.77126413,28.12054869,2016-05-09T15:04:06,2016-05-09T15:04:06
vivienda vacacional,Adeje Paradise 69 AS VV,AV,Avenida,Adeje 300,30,38678.0,38001,Adeje,Py Paraiso Rs Adeje Paradise Vd 69 AS,,cesar.maceda@gmail.com,682693489.0,,-16.76998207,28.12119102,2019-09-24T12:10:23.237000,2019-09-24T12:16:51.216000
vivienda vacacional,Adeje Paradise 71S VV,AV,Avenida,Adeje 300,30,38678.0,38001,Adeje,Py Paraiso Rs Adeje Paradise Vd 71S,,elena.gache78@gmail.com,662508677.0,,-16.77019179,28.12119702,2016-05-09T15:04:06,2016-05-09T15:04:06
vivienda vacacional,Adeje Paradise 72 VV,AV,Avenida,Adeje 300,30,38678.0,38001,Adeje,Py Paraiso Rs Adeje Paradise Vd 72,,,670579847.0,,-16.77027516,28.12071244,2016-05-09T15:04:06,2016-05-09T15:04:06
vivienda vacacional,Adeje Paradise 75 VV,AV,Avenida,Adeje 300,30,38678.0,38001,Adeje,Py Paraiso Rs Adeje Paradise Vd 75,,,609111116.0,,-16.77029789,28.12091296,2016-05-09T15:04:06,2016-05-09T15:04:06
vivienda vacacional,Adeje Paradise 76 VV,AV,Avenida,Adeje 300,30,38678.0,38001,Adeje,Py Paraiso Rs Adeje Paradise Vd 76,,jacobovz@hotmail.com,617704820.0,,-16.77062376,28.12083943,2016-05-09T15:04:06,2016-05-09T15:04:06
vivienda vacacional,Adeje Paradise 77 VV,AV,Avenida,Adeje 300,30,38678.0,38001,Adeje,Py Paraiso Rs Adeje Paradise Vd 77,,jacobovz@hotmail.com,617704820.0,,-16.77074122,28.1207492,2016-05-09T15:04:06,2016-05-09T15:04:06
vivienda vacacional,Adeje Paradise 78 VV,AV,Avenida,Adeje 300,30,38678.0,38001,Adeje,Py Paraiso Rs Adeje Paradise Vd 78,,,619400854.0,,-16.7708549,28.12047517,2016-05-09T15:04:06,2016-05-09T15:04:06
vivienda vacacional,Adeje Paradise 79 VV,AV,Avenida,Adeje 300,30,38678.0,38001,Adeje,Py Paraiso Rs Adeje Paradise Vd 79,,,609111116.0,,-16.77020316,28.12100319,2016-05-09T15:04:06,2016-05-09T15:04:06
vivienda vacacional,Adeje Paradise 80 VV,AV,Avenida,Adeje 300,30,38678.0,38001,Adeje,Py Paraiso Rs Adeje Paradise Vd 80,,jacobovz@hotmail.com,617704820.0,,-16.77085111,28.12063892,2016-05-09T15:04:06,2016-05-09T15:04:06
vivienda vacacional,Adeje Paradise 81 VV,AV,Avenida,Adeje 300,30,38678.0,38001,Adeje,Py Paraiso Rs Adeje Paradise Vd 81,,carlosmantinan39@gmail.com,639404810.0,,-16.77052903,28.12093301,2016-05-09T15:04:06,2016-05-09T15:04:06
vivienda vacacional,Adeje Paradise 82 VV,AV,Avenida,Adeje 300,30,38678.0,38001,Adeje,Py Paraiso Rs Adeje Paradise Vd 82,,,629832553.0,,-16.77103299,28.12033481,2016-05-09T15:04:06,2016-05-09T15:04:06
vivienda vacacional,Adeje Paradise 83 VV,AV,Avenida,Adeje 300,30,38678.0,38001,Adeje,Py Paraiso Rs Adeje Paradise Vd 83,,,670579847.0,,-16.77038883,28.12061887,2016-05-09T15:04:06,2016-05-09T15:04:06
vivienda vacacional,Adeje Paradise 84 VV,AV,Avenida,Adeje 300,30,38678.0,38001,Adeje,Py Paraiso Rs Adeje Paradise Vd 84,,,666962617.0,,-16.77051387,28.12053198,2016-05-09T15:04:06,2016-05-09T15:04:06
vivienda vacacional,Adeje Paradise 85 VV,AV,Avenida,Adeje 300,30,38678.0,38001,Adeje,Py Paraiso Rs Adeje Paradise Vd 85,,,619400854.0,,-16.77094584,28.1203983,2016-05-09T15:04:06,2016-05-09T15:04:06
vivienda vacacional,Adeje Paradise 86 VV,AV,Avenida,Adeje 300,30,38678.0,38001,Adeje,Py Paraiso Rs Adeje Paradise Vd 86,,,619400854.0,,-16.77075259,28.12055537,2016-05-09T15:04:06,2016-05-09T15:04:06
vivienda vacacional,Adeje Paradise 87 VV,AV,Avenida,Adeje 300,30,38678.0,38001,Adeje,Py Paraiso Rs Adeje Paradise Vd 87,,,619400854.0,,-16.77108225,28.12067568,2016-05-09T15:04:06,2016-05-09T15:04:06
vivienda vacacional,Adeje Paradise 88 VV,AV,Avenida,Adeje 300,30,38678.0,38001,Adeje,Py Paraiso Rs Adeje Paradise Vd 88,,,619400854.0,,-16.77104057,28.1205019,2016-05-09T15:04:06,2016-05-09T15:04:06
vivienda vacacional,Adeje Paradise 89S VV,AV,Avenida,Adeje 300,30,38678.0,38001,Adeje,Py Paraiso Rs Adeje Paradise Vd 89S,,,662508677.0,,-16.77112772,28.12042504,2016-05-09T15:04:06,2016-05-09T15:04:06
